The New Car! | 新车！
Today, Peppa and her family | 今天，佩奇和家人
are going for a drive in their red car. | 开着红色小车准备出游。
Shall we have the roof down? | 我们是否应该把车篷放下？
Yes, please! | 是的。
Peppa and George love their car. | 佩奇和乔治喜欢他们的车。
Is everybody ready? | 每个人都准备好了吗？
Ready! | 准备好了！
Then let's go! | 那我们就出发了！
I love our car! | 我喜欢我们的车！
And our car loves us, too! Don't you? | 我们的车也喜欢我们，对嘛？
Oh, dear, the car does not sound very well. | 哦，糟糕，车子听起来不对劲。
Hmm! | 嗯！
What's wrong, Daddy? | 出什么问题了，爸爸？
Hmmm! Er... l don't know. | 嗯！呃。。。我也不知道。
Let's take it toGranddad Dog's Garage. | 让我们把车开去狗爷爷的修车厂吧。
He can fix it. | 他能修好的。
That's a good idea, Mummy Pig. | 这是个好主意，猪妈妈。
woof! | 汪！
Granddad Dog runs the garage; | 狗爷爷开了个修车厂。
he is very good at mending cars. | 他很善长修理汽车。
Woof! Oh, dear, Daddy Pig! | 汪！ 哦，哎，猪爸爸！
Your car does not sound very well. | 你的车子听上去有点问题。
Can you fix it, please, Granddad Dog? | 请问你能不能修好它呢，狗爷爷？
Yes......but it will take all day. | 当然。。。但是它需要一整天。
Ohhh... | 哦。。。
We wanted to go for a drive in our car. | 我们本来想开车出去兜风的。
Woof! Don't worry. | 汪！不用担心。
You can borrow this new car while I fix yours. | 我修车时可以把这辆新车借给你们。
Hurray! | 太好了！
Thank you, Granddad Dog. | 谢谢你，狗爷爷。
Would you like the roof down? | 车篷要放下来吗？
Yes, please! | 好的，谢谢！
I'll just press this red button. | 我只要按下这个红色按钮就行了。
What a clever car! | 多么智能的车子啊！
Wow. | 哇。
Woof! When you come back, | 汪！当你们回来时，
I will have fixed your car. | 我就会修好你们的车子的。
Thank you, Grandad Dog. | 谢谢你，狗爷爷。
Goodbye. | 再见。
Goodbye! | 再见！
Bye bye! | 再见！
Goodbye! woof! | 再见！汪！
Peppa and her family like the new blue car. | 佩奇和家人喜欢这辆蓝色新汽车。
There are so many buttons in this new car. | 这辆新车里有很多按钮。
What does the green button do, Daddy? | 这个绿色的按钮是干什么的，爸爸？
Let's see. | 让我们试试看。
Magic windows! | 原来是神奇的窗户！
Daddy! Make the magic windows go down. | 爸爸！把神奇的窗户降下去吧。
What does the blue button do? | 这个蓝色的按钮是干什么的？
I don't know. Let's see. | 我不知道。让我们试试看。
Arrgh! | 啊！
I love this new car. Can we keep it? | 我喜欢这辆新车。我们可以留下它吗？
No, we can't keep it, Peppa. | 不行，我们不能留下它，佩奇。
We've only borrowed it for today. | 我们今天只是借用一下。
Ohh. | 哦。
Oh, no, I think it's going to rain. | 哦，不，我想快要下雨了。
Yes, I'll just put the roof up. | 是的，我来把车篷升起来。
Now, which is the buttonto close the roof? | 现在，那个按钮是升起车篷了？
Oops! Silly me. Aha! | 哎哟！我糊涂了。啊！
This must be the button. | 一定是这个按钮。
Arrgh! | 啊！
The new car has squirted Daddy Pig with water. | 新车朝猪爸爸脸上喷了一脸的水。
Silly Daddy, that's not the roof! | 糊涂爸爸，那不是控制车篷的！
This button! Oops! | 是这个按钮！哎哟！
Not that one! This button! | 不是那个！是这个！
Arrgh! Help! | 啊！救命啊！
Daddy Pig has forgotten which button closes the roof. | 猪爸爸忘了是哪个按钮来关车篷的。
I don't think this car likes me! | 我觉得这辆车不喜欢我！
Let's try the red button. | 让我们来试一下这个红色的按钮。
Hurray! | 太好了！
But now it's stopped raining. | 但是现在雨停了。
Can we open the roof again? | 我们能把车篷再打开吗？
Er, yes. which button was it? | 呃，好的，是哪个按钮？
The red one! Hurray! | 红色的那个！好了！
Granddad Dog has fixed the car. | 狗爷爷已经修好了车子。
Your car is fixed. | 你们的车子已经修好了。
Hurray! | 太好了！
Thank you, Granddad Dog, and keep the change. | 谢谢你，狗爷爷，不用找零钱了。
Thank you, Daddy Pig. | 谢谢你，猪爸爸。
Woof! Woof! Goodbye! | 汪！汪！再见！
Goodbye! | 再见！
Goodbye! | 再见！
Bye bye! | 再见！
Ahhh! It's good to getour old car back again! | 啊！还是开我们的旧车感觉好！
I liked the new car but I like our old car better. | 我喜欢那辆新车，但我更喜欢我们的旧车。
And I think our old car likes us, too. Don't you? | 我觉得我们的旧车也喜欢我们，对嘛？
