Snow | 下雪了
Peppa and George are very excited today. | 佩奇和乔治今天非常的兴奋。
It is snowing outside! | 因为外面下雪了！
Mummy! Can we go and play in the snow? | 妈妈，我们可以去玩雪吗？
Yes, but it's very cold outside, | 可以，但是外面非常寒冷，
so you must wrap up warm. | 所以你们必须穿暖和些。
Hurray! | 好啊！
And don't forget to wear your hats, | 还有不要忘记戴上你们的帽子，
and scarves and gloves. | 围巾和手套。
It is very cold outside. | 外面天气非常冷。
Peppa and George must wear their hats... | 佩奇和乔治必须戴上他们的帽子。。。
and scarves... and gloves. | 围巾。。。和手套。
Come on, George! | 快来，乔治！
Peppa and George are making footprints in the snow. | 佩奇和乔治在雪地里留下了足迹。
Peppa and George love making footprints in the snow! | 佩奇和乔治喜欢在雪地里留下了足迹。
Oops! | 喔！
Oh, dear！ | 哦，糟糕！
It's not funny! | 这一点也不好笑！
George, let's play snowballs! | 乔治，让我们来打雪仗吧！
Peppa has made a snowball. | 佩奇做了个雪球。
Peppa and George are having a lot of fun. | 佩奇和乔治玩得很开心。
George, come back, you little piggy! | 乔治，快回来，你这小猪！
Arrgh! | 啊！
Oh, dear. Maybe this game isgetting a little too rough. | 哦，糟糕。也许这游戏玩得有点过火了。
Sorry, George. | 对不起，乔治。
George! Let's build a snowman! | 乔治！让我们来堆雪人吧！
Peppa and George are making a snowman. | 佩奇和乔治在堆雪人。
First, they make the body. | 首先，他们堆了身体。
George, this is the snowman's body. | 乔治，这是雪人的身体了。
Now, they make the snowman's head. | 现在，他们在堆雪人的头。
Now, he needs armsand eyes and a mouth! | 现在，他需要胳膊，眼睛和嘴巴！
George has found some sticks for the snowman's arms. | 乔治找了几根树枝来做雪人的胳膊。
Peppa has found some stones for the snowman's eyes and mouth. | 佩奇找了几块石头来做雪人的眼睛和嘴巴。
This is his face. | 这是他的脸啦。
Now the snowman needs a nose. | 现在雪人需要一个鼻子。
Peppa has got a carrot,to make the snowman's nose. | 佩奇找了根胡萝卜来做雪人的鼻子。
The snowman looks very happy. | 雪人看上去很开心。
But maybe he is bit cold. | 但也许他有点冷。
The snowman needs some clothes to keep him warm. | 雪人需要穿些衣服来保暖。
George has found some clothes to keep the snowman nice and warm! | 乔治找来了一些衣服来给雪人保暖！
The snowman is wearing his hat... and scarf... and gloves. | 雪人戴上他的帽子。。。围上围巾。。。和戴着手套。 Mummy! Daddy! Come and look! 妈妈！爸爸！快来看看！
Mummy Pig is wearing her hat and scarf and gloves. | 妈妈戴着她的帽子，围巾和手套来了。
That is the best snowman I have ever seen! | 这是我见过的最好的雪人了！
Daddy Pig looks quite cold. | 猪爸爸看上去有点冷。
He isn't wearing his hatand scarf and gloves. | 他没有戴着他的帽子，围巾和手套。
Daddy, why aren't you wearingyour hat and scarf and gloves? | 爸爸，你为什么不戴上你的帽子，围巾和手套？
I don't know where they are! | 我不知道他们跑哪去了！
I can't find them anywhere. | 我在哪也没有找到他们。
I think I know where Daddy's hat, scarf and gloves are... | 我想我知道爸爸的帽子，围巾和手套在哪了。。。
Daddy Pig's hat and scarf and gloves are on the snowman! | 猪爸爸的帽子，围巾和手套都在雪人身上！
Oh! | 哦！
I'm Peppa Pig. | 我是小猪佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
