My Cousin Chloe! | 我的堂姐克洛伊!
Peppa and George are playing in the garden. | 佩奇和乔治在花园里玩。
To me, George! | 交给我，乔治！
You threw the ball too hard, George! | 你的球扔得太大力了，乔治！
So the rules say, I win! | 所以按规则来说，我赢了！
Now it's my turn. I win again! | 现在轮到我了。我又赢了！
Peppa, George. Today your big cousin, | 佩奇，乔治，今天你们的堂姐，
Chloe is coming to visit! | 克洛伊会来家里玩！
Yippee! Cousin Chloe! | 好耶！堂姐克洛伊来哦！
George, Chloe is a big girl,like me. | 乔治，克洛伊像我一样是个大姑娘了。
So, don't be sad if she findsyou too Little to play with. | 所以，如果她觉得你太小不和你玩，你不要伤心哦。
I'm sure Chloewill play with both of you. | 我相信克洛伊会和你们俩一起玩的。
Chloe is here! | 克洛伊到了！
Aunty Pig has brought Chloe to spend the day at Peppa's house. | 猪伯母带克洛伊来佩奇家里玩了。
Chloe is Peppa and George's cousin. | 克洛伊是佩奇和乔治的堂姐。
Chloe is a bit older than Peppa and George. | 克洛伊比佩奇和乔治大一点点。
Hello, Chloe! | 你好，克洛伊！
Hello, Peppa! Hello, George! | 你好，佩奇！你好，乔治！
See you later! | 待会见！
Do you want to play a game? | 想玩游戏吗？
Yes! Let's play "Catch!" | 是的！我们来玩“你跑我追”!
Peppa loves playing "Catch". | 佩奇喜欢玩“你跑我追”！
Do you still play "Catch"? | 你还玩“你跑我追”？
That's a game for Little children. | 那可是小孩子玩的游戏。
We only play "Catch"because George likes it. | 我们只玩“你跑我追”是因为是乔治喜欢这个游戏。
Okay. Let's play it for George. | 好吧。那我们陪乔治玩吧。
Do you play with the proper rules or the baby rules? | 你是按大人的规则玩还是按小朋友的规则玩？
Proper rules! | 按大人的规则！
I'll start. Peppa! You're "it". | 开始了。佩奇！你是追的人。
Catch me if you can! | 有本事就来抓我呀！
Peppa is "it". She has tochase Chloe and George. | 佩奇是那个追的人。她要追克洛伊和乔治。
Can't catch me! | 抓不到我吧！
George! | 乔治！
I'm going to easily catch you!You're so Little! | 要抓住你太简单了！你那么小！
That's not fair!!You're helping George! | 那样不公平！你在帮乔治！
That's because he's Little. | 那是因为他还小。
Do you want me to help you? | 你需要我来帮你吗？
No! I don't need help.I'm a big girl like you. | 不，我不需要帮忙。我和你一样是个大姑娘了。
Come on, then, Peppa!Try and catch us! | 来吧，佩奇！来抓我们吧！
Can't catch us! | 来抓我们吧！
Can't catch us! | 来抓我们吧！
This is a silly game. | 这个游戏很傻气.
Can we play something else? | 我们可以玩别的游戏吗？
Okay, I know a really goodgame for big children. | 可以啊，我知道一个真正适合大孩子玩的好游戏。
It's called "Sly Fox"! | 叫做“狡猾的狐狸”！
"Sly Fox"!! | “狡猾的狐狸”！
I want to play "Sly Fox"!!What is it? | 我想玩“狡猾的狐狸”
One person is the "Sly Fox" | 由一个人来做“狡猾的狐狸”
and the others creep up on them. | 其他人悄悄地走上前。
Me! Me! I want to be the "Sly Fox"! | 我来！我来！我要扮“狡猾的狐狸”！
Peppa is the "Sly Fox". | 佩奇做"狡猾的狐狸"。
While her back is turned,the others creep up on her. | 当她转过身去时，其他人悄悄地走向她。
But if Peppa turns and sees someone move, | 但如果佩奇转过身看到谁在动， they have to go back to the start!那他们就得走回去重新开始！
George, I saw you move! | 乔治，我看到你动了！
Back to the start! | 回去重新开始！
Got you! I win! | 抓住你了！我赢了！
You moved before I was ready! | 我还没准备好你就动了！
The rules say I can move when I like. | 规则说我随时都可以动。
Don't they, George? | 是不是，乔治?
Now it's Chloe's turnto be the "Sly Fox". | 现在轮到克洛伊来做“狡猾的狐狸”了。
Peppa and George must stay very still. | 佩奇和乔治必须保持不动。
Whoaao! | 哇啊！
Peppa! I saw you move!Back to the start! | 佩奇！我看到你动了！回到原位重新开始！
It's not fair!You looked too long! | 不公平！你看得太久了！
The rules say, I can lookas long as I want. | 规则说，我想看多久就多久。
Back to the start. | 回到原位重新开始。
George is the winner! | 乔治赢了！
Can we play a different game? | 我们可以玩别的游戏吗？
Yes. | 是的。
But as long as it'sa grown-up game. | 但必须是大人玩的游戏。
I know! | 我知道！
Let's play my favorite game! | 我们来玩我最喜欢的游戏吧！
It's very grown-up! | 大人的游戏！
George, do you know | 乔治，你知道
What Peppa's favorite game is? | 佩奇最喜欢的游戏是什么？
Peppa's favorite game is | 佩奇最喜欢的游戏是
jumping up and down in muddy puddles! | 在泥坑里跳来跳去！
George, if you jump in puddles, | 乔治，如果你想跳到泥坑里玩，
you must wear your boots! | 你必须穿上你的靴子！
I've brought some bootsfor you too, Chloe! | 我也给你带了一双靴子，克洛伊！
I'm too grown-up to jumpin muddy puddles. | 我已经是大人了不能在泥坑里跳。
Oh. So am I. | 哦。我也是。
George loves jumping in muddy puddles. | 乔治喜欢跳到泥坑里玩。
Secretly, Peppa would loveto jump in the puddle. | 背地里，佩奇也喜欢跳到泥坑里玩。
But she wants to look grown-up. | 但是她想让自己看上去像个大人。
I hear there's some puddlejumping going on! | 我听到这有跳泥坑的游戏！
Mummy Pig and Daddy Pig love jumping in muddy puddles! | 猪妈妈和猪爸爸也喜欢跳到泥坑里玩！
It does look fun. | 的确看起来很有趣。
Yes, it does. | 是的，确实是。
Maybe there's a rule that says, | 也许应该有条规则说，
big girls can jump in muddy puddles. | 大姑娘也可以跳到泥坑里玩。
Yes! That's a good rule! | 是的！真是个好规则！
Race you! | 比你快！
Race you! | 比你快！
Peppa and Chloe love jumping up and down in muddy puddles! | 佩奇和克洛伊喜欢在泥坑里跳来跳去！
Everyone loves jumping up and down in muddy puddles, | 大家都喜欢在泥坑里跳来跳去，
even grown-up girls! | 连大姑娘也喜欢！
