Daddy Loses his Glasses! | 爸爸的眼镜不见了!
Daddy Pig wears glasses. | 猪爸爸常戴着眼镜。
He needs to wear glasses to see clearly. | 他需要戴着眼镜才能看得清楚。
When Daddy Pig wears his glasses, | 当猪爸爸戴着眼镜时，
everything looks fine. | 一切看得很清楚。
But when Daddy Pig takes his glasses off... | 但是当猪爸爸摘下眼镜时。。。
...he can't see things clearly. | 。。。他就什么都看不清了。
Everything looks a bit soft and fuzzy. | 所有的东西看上去都很模糊。
So, it is very important thatDaddy Pig knows where his glasses are. | 所以，对于猪爸爸来说，知道他的眼镜在哪是很重要的。
Sometimes, Daddy Pigloses his glasses. | 有时，猪爸爸会找不到他的眼镜。
Peppa, George. Have you seenDaddy Pig's glasses? | 佩奇，乔治。你们看到过猪爸爸的眼镜吗？
He can't find them anywhere. | 他到处找也找不到。
No, Mummy. | 没有，妈妈。
Peppa and George do not know | 佩奇和乔治不知道
where Daddy Pig's glasses are. | 猪爸爸的眼镜在哪。
Oh, dear. Daddy Pig cannot see a thing without them | 哦，糟糕。猪爸爸没有眼镜什么都看不到
and it makes him very grumpy. | 这让他很焦躁的。
Without his glasses on, | 没在眼镜，
Daddy Pig cannot read his newspaper. | 猪爸爸根本看不到报纸。
This is ridiculous!I can't see anything! | 真可笑！我什么也看不到！
Somebody must have put my glasses somewhere. | 一定是有人将我的眼镜藏起来了。
Do you remember where you last put them,Daddy Pig? | 你还记得你最后把他们放哪了，猪爸爸？
When I don't wear them, | 当我不戴时，
I always put them in my pocket. | 我总是把他们放在我的口袋里。
But they aren't there now. | 但是他们现在不在口袋里。
Daddy! Can we help findyour glasses? | 爸爸！我们能帮你一起找眼镜吗？
Good idea, Peppa. If you find them, | 好主意，佩奇。如果你找到了，
Daddy will stop being so grumpy. | 爸爸就不再焦躁了。
I'm not grumpy. | 我并没有焦躁。
Peppa and George are looking for Daddy's glasses. | 佩奇和乔治开始找爸爸的眼镜了。
Peppa looks under the newspaper. | 佩奇找了报纸下面。
But Daddy Pig's glasses are not there. | 但是猪爸爸的眼镜不在那里。
Oh. | 哦。
George looks on top of the television. | 乔治找了电视机的上面。
But Daddy Pig's glasses are not there. | 但是猪爸爸的眼镜也不在那里。
Oh. | 哦。
Let's look upstairs inMummy and Daddy's bedroom! | 让我们上楼去妈妈和爸爸的卧室找找！
Peppa and George are looking in Mummy and Daddy Pig's bedroom. | 佩奇和乔治开始在猪妈妈和猪爸爸的卧室里找。
George... be careful not toknock anything over. | 乔治。。。小心点，不要碰倒东西了。
Argh! | 啊！
It's not funny. | 这一点也不好笑。
Peppa looks under the pillows. | 佩奇找了枕头底下。
But Daddy Pig's glassesare not there. | 但是猪爸爸的眼镜不在那。
Oh. | 哦。
George looks in Daddy's slippers. | 乔治找了爸爸的拖鞋。
But the glasses are not there, either. | 但是眼镜也不在那。
Let's look in the bathroom! | 让我们去浴室找找！
Peppa and George are looking in the bathroom. | 佩奇和乔治开始在浴室找。
The glasses are not in the bath. | 眼镜不在浴缸里
Oh. | 哦。
The glasses are not in the toilet. | 眼镜也不在厕所里。
Oh. | 哦。
Hmm ! It's too difficult. | 唔！太难找了。
Peppa and George cannot find Daddy Pig's glasses anywhere. | 佩奇和乔治到处找都没找到猪爸爸的眼镜。
We've looked everywhere. | 我们已经到处找了。
But we can't find Daddy's glasses. | 但是我们没有找到爸爸的眼镜。
Oh, dear. Now, what can we do? | 哦，糟了。现在，我们该怎么办？
I suppose I'll just have tolearn to do without them... | 我想我只有适应没有眼镜的生活。。。
If I move slowly,I won't bump into things. | 如果走得慢，我不会撞到东西的。
There they are!Daddy's glasses! | 在这里！爸爸的眼镜！
Daddy Pig. You weresitting on them all the time! | 猪爸爸。原来你一直坐在眼镜上面！
Oh... | 哦。。。
Silly Daddy! | 糊涂的爸爸！
I don't know how they got there. | 我不知道他们怎么会跑到那里去的。
I wonder how! | 我知道是怎么回事了！
Well, you may have been a bit silly, | 好吧，你的确有点糊涂，
Daddy Pig, but at leastyou're not grumpy anymore! | 猪爸爸，但至少你不会焦躁了！
I was not grumpy. | 我从来没有焦躁。
I'm Peppa Pig. | 我是小猪佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
