Dressing Up! | 装扮游戏!
Peppa and George are playing in Mummy and Daddy's bedroom. | 佩奇和乔治在妈妈和爸爸的卧室里玩。
What's this? | 这是什么？
Peppa has found a box of old clothes. | 佩奇找到了一箱旧衣服。
Wow! This is Daddy's hat. | 哇！这是爸爸的帽子。
And this is Mummy's dress. | 这是妈妈的裙子。
George! Let's dress up andpretend to be Mummy and Daddy. | 乔治！让我们装扮成妈妈和爸爸。
Here is Daddy's hat. | 这是爸爸的帽子。
And here is Daddy's coat. | 这是爸爸是大衣。
Hello, Daddy Pig. | 你好，猪爸爸。
Now it's my turn.This is Mummy's dress. | 现在轮到我了。这是妈妈的裙子。
This is Mummy's hat. | 这是妈妈的帽子。
Daddy Pig! Where are your shoes? | 猪爸爸！你的鞋子呢？
I need some shoes, too. | 我也要穿鞋子。
Now I need to look beautiful,just like Mummy. | 现在，我需要看上去像妈妈一样漂亮。
Peppa has found Mummy's make-up box. | 佩奇找到了妈妈的化妆盒。
Aha! | 啊哈！
First, some powder. Lovely!Now for some lipstick. | 首先，扑些粉底。非常好看！现在涂些口红。
What a pretty Mummy Pig! | 好漂亮的猪妈妈！
Come along, Daddy Pig.It's time to go to work. | 来吧，猪爸爸。是时候去工作了。
Mummy is working on her computer. | 妈妈正在电脑前工作。
Hello, Peppa. Hello, George. | 你好，佩奇。你好，乔治。
I beg your pardon? | 抱歉，请你再说一遍。
Peppa, I was just saying ''hello''. | 佩奇，我刚才不是说“你好”了吗？
I'm not Peppa Pig. I'm Mummy Pig. | 我不是佩奇。我是猪妈妈。
Oh, yes! Of course.Hello, Mummy Pig. | 哦，是的！的确这样，你好，猪妈妈。
Hello, and this is Daddy Pig.George! | 你好，这是猪爸爸。乔治！
And hello to you, too, Daddy Pig. | 你好啊，猪爸爸。
Excuse me; I've got a lot of work to do! | 不好意思；我还有很多的工作要做！
Hello? Yes, do this, do that. | 喂？是的，做这个，做那个。
No, thank you, goodbye. | 不，谢谢你，再见。
Peppa is enjoying pretending to be Mummy Pig. | 佩奇很享受扮演成猪妈妈。
But George is getting a bit bored. | 但是乔治开始觉得有点无聊了。
Sorry, Daddy Pig, I'm nearlyfinished. There! All done! | 对不起，猪爸爸，我快完成了。好了，完成！
Come on, Daddy Pig, it's timeyou did some work. | 来吧，猪爸爸，是时候你干活了。
Goodbye, Mummy Pig and Daddy Pig. | 再见，猪妈妈和猪爸爸。
Goodbye. | 再见。
Daddy Pig is digging in the garden. | 猪爸爸正在花园挖坑。
Hello, Peppa. Hello, George. | 你好，佩奇。你好，乔治。
I'm not Peppa! I'm Mummy Pig and this is Daddy Pig! | 我不是佩奇！我是猪妈妈，而这是猪爸爸！
Daddy pig is here to do some work. | 猪爸爸来这里干活的。
That's very kind of you, Daddy Pig. | 你真好，猪爸爸。
Now, be careful, it's a very deep hole. | 现在，要小心哦，它是一个很深的坑。
I do hope you are not digging in your best clothes, Daddy Pig. | 我真希望挖坑没弄脏你最好的衣服，猪爸爸。
I want to make big snorts, too. | 我也想发出这么响的鼻鼾声。
Ice cream, everyone. | 大家，雪糕来了。
Ice cream! | 雪糕！
Peppa! George! | 佩奇！乔治！
You must take off those muddy clothes before you eat. | 在吃之前，你们必须脱掉身上的脏衣服。
I'm Mummy Pig and this is Daddy Pig. | 我是猪妈妈，而这是猪爸爸。
Are you sure? | 你确信？
Yes. | 是的。
So, where are Peppa and George? | 那么，佩奇和乔治去哪了？
We don't know. | 我们不知道。
Oh, well, that's a shame becauseI've got their favorite ice cream here. | 哦，好吧，真可惜了我还准备了他们最喜欢的雪糕。
But if we can't find them, | 但是如果我们找不到他们，
then... | 那么。。。
Here we are! | 我们在这！
Peppa! George! There you are! | 佩奇，乔治！是你们呀！
Yes, Mummy, we were just pretending to be you and Daddy. | 是的，妈妈，我们刚才假扮成你和爸爸。
You really had us fooled! | 你们真的戏弄了我们！
