I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
Musical Instruments | 乐器
Mummy Pig and Daddy Pig have been tidying the house. | 猪妈妈和猪爸爸在收拾房子。
Mummy Pig and I found this old box in the attic! | 猪妈妈和我在阁楼里发现了这个旧箱子。
Ooo! | 喔！
Can anyone guess what's inside? | 谁能猜出里面有什么吗？
Hmmm, nope! | 嗯，猜不出！
It's full of musical instruments! | 里边装满了乐器！
Wow! | 哇！
They are a bit old and dusty. | 有点旧，满是灰尘。
This is the violin I used to play when I was little! | 这是我小时候拉过的小提琴！
Mummy? Can you play your violin? | 妈妈？你能拉小提琴来听听吗？
I haven't played it for a long time! | 我已经很久没有拉过它了！
Please, Mummy! Please play it! | 求你了，妈妈！拉来听听嘛！
I hope I haven't forgotten how... | 希望我还记得怎么拉。。。
Bravo! | 好棒！
Hurray! | 好耶！
Mummy? Can I play the violin? | 妈妈？我能试拉一下小提琴吗？
Hold it like this. | 这样拿着。
Yes, Mummy. | 好的，妈妈。
Oh! | 哦！
Oh, dear. I do not think it ismeant to sound like that. | 哦，天啊。我想小提琴的声音不是这样的。
George wants to try. | 乔治也想试试。
Hold it like this, George. | 乔治，这样拿着。
Oh! | 哦！
That does not sound quite right, either. | 小提琴的声音也不是这样的。
The violin is too hard to play! | 小提琴好难拉呀！
Peppa! Maybe you would do better with this tin drum,. | 佩奇！也许你更适合打鼓。
Thank you, Daddy. | 谢谢你，爸爸。
That sounds better! | 听上去好多了！
Peppa loves playing the drum. | 佩奇喜欢上打鼓了。
Lovely. | 真不错。
Yes, it sounds very nice. | 是的，听上去很好。
This is Daddy Pig's old accordion. | 这是猪爸爸的旧手风琴。
I used to play this to Mummy Pig when we first met... | 我和猪妈妈第一次见面时，我拉的就是手风琴。。。
Oh... Daddy Pig. I remember this tune. | 哦。。。猪爸爸。我记得这首曲子。
George wants to play the accordion, too! | 乔治也想拉手风琴！
Are you sure, George?The accordion is quite difficult. | 你确定吗，乔治？手风琴是很难拉的。
George. The a-cro-dion is almost as difficult to play as my drum. | 乔治。手风琴差不多与我的鼓一样难。
Ok, George. | 好的，乔治。
Oh! | 哦！
Maybe George is a bit too little to play the accordion. | 也许乔治太小还不能玩手风琴。
Daddy? What other instruments are in the box? | 爸爸？箱子里还有什么乐器吗？
Just this horn! | 只有号角了！
Can I try? | 我可以试试吗？
You have to blow it very hard! | 你得使劲地吹！
That does not sound right. | 这个声音好像不对。
It's impossible! | 不可能吹响！
I think I used to be able to play it... | 我想我以前好像吹响过它。。。
That really does not sound right. | 这个声音也不太对。
Maybe it just needs someone big and strong like me! | 也许这个只有我这么强壮的人来吹才行！
That does not sound right, either. | 这个声音也不太对。
Peppa's right; it is impossible to play. | 佩奇说得对；不可能吹响它。
Never mind, Daddy Pig.Just stick to the accordion. | 没关系的，猪爸爸。只要拉手风琴就好了。
You play it beautifully! | 你拉得非常动听！
Well, I do play it quite nicely, | 好吧，我的手风琴是拉得很不错，
even if I say so myself. | 即使我自己也这么说。
And I'll play my violin! | 我来拉小提琴！
And I will play my drum! | 我来打鼓！
Mummy Pig plays the violin. | 猪妈妈拉小提琴。
Daddy Pig plays the accordion. | 猪爸爸拉手风琴。
Peppa plays the drum. | 佩奇打鼓。
But what instrument will George play? | 但是乔治该用什么乐器呢？
George is blowing the horn! | 乔治在吹号角！
Mummy couldn't play the hornand Daddy couldn't play it. | 妈妈吹不响那只号角，爸爸也吹不响那只号角。
And even I couldn't play it! | 即使我也吹不响那只号角！
But George can play it. | 但是乔治能吹响号角。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
