I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
Ballet Lesson! | 芭蕾舞课！
Peppa is going to her first ballet lesson. | 佩奇去上她的第一节芭蕾舞课。
This is Madame Gazelle,the ballet teacher. | 这是羚羊夫人，芭蕾舞老师。
Ah, ho! You must be young Peppa! | 啊，哦！你一定是小佩奇！
I am Madame Gazelle! | 我是羚羊夫人！
Hello, Madame! | 你好啊，夫人！
So sweet! | 真讨人喜欢！
Welcome to your first lesson of the ballet! | 欢迎你来上第一节芭蕾舞课！
I'll pick you up later! | 我一会儿来接你！
Bye bye! | 再见！
Enjoy yourself! | 享受你的舞蹈课！
Here are Peppa's friends, | 这里有佩奇的朋友，
Candy Cat, Suzy Sheep, Danny Dog, | 小猫凯迪，小羊苏茜，小狗丹尼，
Rebecca Rabbit, and Pedro Pony. | 小兔瑞贝卡和小马佩德罗。
Children, today we havea new pupil, Peppa Pig! | 孩子们，今天我们有个新同学，佩奇！
Now Peppa, run and join your friends! | 现在，佩奇去你朋友们那吧！
Hello, everyone! | 大家好啊！
Hello, Peppa! | 你好啊，佩奇！
Children! We beginwith demi-plier! | 孩子们！我们开始练习半蹲！ 
Demi-Plier. Now a Little jump, petit jete.半蹲。现在练习小跳，脚交织式跳跃。
With grace and beauty. Petit jete! | 动作要优雅和美丽。 脚交织式跳跃！
Grace and beauty! | 优雅和美！
Petit jete! | 脚交织式跳跃！
Grace and beauty! | 优雅和美！
The ballet lesson is a lot of fun! | 芭蕾舞课真是太好意思了！
Raise you arms! | 举起双手！
Imagine that you are beautiful swans! | 想象你们是一只漂亮的天鹅！
And what noise do you think a swan might make? | 你们觉得天鹅的声音是怎么样的呢？
Ah, ho. Grace and beauty! | 啊，哦。要优雅和美！
Peppa loves dancing! Everyone loves dancing! | 佩奇喜欢跳舞！大家都喜欢跳舞！
Mummy! Mummy! We all danced as swans! | 妈妈！妈妈！我们都像天鹅一样跳舞啊！
Peppa did very well! | 佩奇表现得很好！
I had to dance beautifully and gracefully! | 我要跳得既漂亮又优雅才行！
That's lovely! | 那很好啊！
Can I show you how I did it? | 我给你看看是怎么跳的吧？
Let's get home first. | 我们先回家吧。
Then you can show Daddy Pig,and George, and me. | 然后你再跳给爸爸，乔治和我看。
Bye bye! | 再见！
Peppa and Mummy Pig are home! | 佩奇和妈妈回到家了！
Daddy! George! | 爸爸！乔治！
I'm going to show youhow to do ballet! | 我要让你们看看怎么跳芭蕾舞！
Is it difficult? | 会不会很难？
It was easy for me. | 对于我来说很容易。
But you, George, and Mummywill find it very hard. | 但对于你，乔治和妈妈就很难了。
First, we need music. | 首先，我们来点音乐。
Good. Now, George, Daddy and Mummy, | 好了。现在，乔治，爸爸和妈妈，
you must copy what I do. | 你们照我的动作来做。
Madame Gazelle used funny words. | 羚羊夫人用了一些好笑的词。
But really, it's just bendingyour knees and jumping. | 但是其实，只是弯起你的膝盖然后跳起来。
Ah, the petit jete! | 啊，脚交织式跳跃！
Daddy! You know the funny words! | 爸爸！你居然知道这些好笑的词啊！
Mummy Pig and I used to be quite good at ballet! | 猪妈妈和我以前芭蕾舞跳得很好的！
Do be careful, Daddy Pig. | 要小心啊，猪爸爸。
Our favorite was the pas de deux! | 我们最喜欢的舞是双人舞！
Hoop-la! | 箍啦！
Ooofff! That wasn't quite how I remembered it. | 喔！我记得好像不是这样的。
Silly Daddy Pig! | 糊涂的爸爸！
Maybe we should leave the ballet to Peppa! | 也许我们还是让佩奇来表演芭蕾舞吧！
Yes, I am the best at it! | 是的，我是跳得最好的！
I am a beautiful swan! | 我是一只漂亮的天鹅！
