I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
The Tooth Fairy! | 牙仙子!
Peppa and George are having their favorite food --- spaghetti! | 佩奇和乔治在吃他们最喜欢的食物--意大利面！
What a lot of noise! | 吃得很大声啊！
Finished! | 吃完了！
Ah, now we'll have a bit of quiet! | 啊，现在我们安静了点啦！
What's that? | 那是什么？
It's a tooth! | 是一颗牙齿！
Where did that come from? | 它从哪里来的？
Peppa, maybe you should look in the mirror! | 佩奇，也许你应该去镜子里看看！
Oh! | 哦！
It's my tooth! It's fallen out! | 这是我的牙齿！它掉下来了！
Don't worry, Peppa. | 别担心，佩奇。
It's just a milk tooth - | 它只是一颗乳牙-
They're meant to fall out. | 它们是要掉下来的。
Will I grow a new one, Mummy? | 妈妈，我还会长出新牙吗？
Yes, you will, Peppa. | 是的，会的，佩奇。
It also means the Tooth Fairy will be paying you a visit. | 它也意味着牙仙子会来看你的。
Tooth Fairy? | 牙仙子？
Yes, the Tooth Fairy. | 是的，牙仙子。
If you put the tooth under your pillow tonight, | 如果今晚你将牙齿放在你的枕头下，
the Tooth Fairy will come. | 牙仙子就会来找你。
The Tooth Fairy will take the tooth. | 牙仙子会把牙齿拿走。
And in its place, she will leave a shiny coin! | 在原来的地方，她会放下一枚闪亮的金币！
When I grow up, | 等我长大了，
I want to be a Tooth Fairy! | 我也要成为牙仙子！
And what would you like to be when you grow up, George? | 乔治，那你长大以后想做什么？
Dine-Saw! | 恐龙！
A dinosaur! | 做一只恐龙！
Quick, George, it's bedtime! | 快点，乔治，是时候上床睡觉了！
We don't want tomiss the Tooth Fairy! | 我们可不想错过牙仙子！
Before going to bed,Peppa and George brush their teeth. | 上床之前，佩奇和乔治在刷牙。
Peppa, what are you doing? | 佩奇，你在干什么？
I'm brushing my tooth so it is nice and clean for the Tooth Fairy. | 我在刷我的牙齿，牙仙子就可以拿到好看又干净的牙齿了。
Peppa cannot wait to get into bed. | 佩奇等不及上床了。
Peppa is putting her tooth under the pillow for the Tooth Fairy. | 佩奇将她的牙齿放在枕头下给牙仙子。
Goodnight, Peppa and George. | 晚安，佩奇和乔治。
Goodnight, Mummy! Goodnight, Daddy! | 晚安，妈妈！晚安，爸爸！
Goodnight, my Little piggies! | 晚安，我的小猪们！
George, I'm not going to sleep! | 乔治，我不打算睡觉了！
Let's both stay awake all nightand see the Tooth Fairy! | 我们一晚都醒着，看看牙仙子！
This Tooth Fairy is very late! | 这个牙仙子来得太晚了！
The Tooth Fairy is taking a long time to arrive. | 牙仙子要很久很久才来。
Where is that Tooth Fairy? | 牙仙子到底在哪呀？
What is that noise? | 什么声音？
Is it the Tooth Fairy? | 是牙仙子吗？
George, can you hear something? | 乔治，你听到了什么了吗？
Oh, George! | 哦，乔治！
Oh, the noise is George. | 哦，原来是乔治的声音。
He was so tired, he has fallen asleep. | 他太累了，他睡着了。
George is not very good at staying awake, but I am. | 乔治不能一晚上不睡觉，但我可以。
I am going to stay awake and see the Tooth Fairy. | 我要醒着，看看牙仙子。
I'm not going to sleep... | 我不能睡着。。。
The Tooth Fairy has arrived. | 牙仙子来了。
But Peppa is asleep. | 但是佩奇睡觉了。
Hello, Peppa. | 你好啊，佩奇。
Would you like this coin in return for your tooth? | 你想用你的牙齿来换这枚金币吗？
What a nice, clean tooth. | 真是一颗好看又干净的牙齿。
Thank you, Peppa, Goodnight. | 谢谢你，佩奇，晚安。
Peppa, George, wake up. | 佩奇，乔治，起床了。
It's morning. | 已经早上了。
What? I wasn't asleep! | 什么？我没有睡着！
Did the Tooth Fairy come? | 牙仙子来过了吗？
No! | 没有！
Let's take a look under your pillow. | 让我们看看你的枕头下。
Look, Peppa! The Tooth Fairyhas been and she's left you a coin! | 看，佩奇！牙仙子已经来过了，还留了一枚金币！
Hurray! | 好耶！
You fell asleep, didn't you? | 你睡着了，对不对？
Well, maybe I fell asleepjust for a Little bit... | 好吧，也许我只是小睡了一会。。。
Next time, I will stay awake, | 下次，我会一直醒着，
and I will see the Tooth Fairy! | 我一定会看到牙仙子的！
