Treasure Hunt! | 寻宝！
Granny Pig and Grandpa Pig are making a treasure hunt for Peppa and Geroge. | 猪奶奶和猪爷爷正在给佩奇和乔治准备寻宝游戏。
Granny Pig is drawing the treasure map. | 猪奶奶在画藏宝图。
Grandpa Pig is burying the treasure in a secret place in the garden. | 猪爷爷正在将宝藏藏在花园里的一个秘密地点。
Grandpa Pig! Have you finished?! | 猪爷爷！你藏好了吗？
Peppa and George will be here soon! | 佩奇和乔治很快就来这了！
No need to panic, Granny Pig! | 不要慌张，猪奶奶！
Peppa and her family are here! | 佩奇和乔治来到了！
Quick, Grandpa Pig! They're here! | 快点，猪爷爷！他们到了！
Almost done! | 快好了！
Grandpa Pig just finished in time! | 猪爷爷刚刚及时完成！
Granny Pig! We're here! | 奶奶！我们到了！
Ganggy lg! | 奶奶！
Hello, my Little ones! | 你们好啊，我的小可爱们！
Grandpa Pig! | 爷爷！
Baba lg! | 爷爷！
Ahoy there, me hearties! | 啊，你们好，我的宝贝们！
Peppa, George, we'vemade you a treasure hunt! | 佩奇，乔治，我们给你们准备了寻宝活动！
Somewhere in the garden is buried treasure! | 花园里的某个地方藏了宝藏哦！
Wow! Treasure! Where is it? | 哇！宝藏！它在哪？
You have to look for it. | 你得自己去找。
Here's a treasure map for Peppa. | 这是给佩奇的寻宝图。
And George can wear my pirate hat. | 乔治可以戴上我的海盗帽。
Ahoy there, Captain George! | 你好啊，乔治船长！
The map is a bit difficult. | 这个地图有点难懂。
Daddy, can you help? | 爸爸，你能帮忙吗？
Of course, Peppa. | 当然可以，佩奇。
I'm very good with maps. | 我很擅长看地图的。
Er. It is a bit difficult. | 呃。确实有点难懂。
Daddy Pig, | 猪爸爸，
you're holding the map upside down! | 你拿反了地图！
Yes, I thought as much. | 是的，我想是的。
It's easy! The red cross showswhere the treasure is! | 太简单了！红色叉的地方就是宝藏的地方！
But where in the garden are those two apple trees? | 但是花园的什么地方有两棵苹果树呢？
Hmmm... I don't know. | 嗯。。。我不知道。
Would you like a clue? | 你需要一点提示吗？
Yes, please! | 是的，请讲！
The first clue is in a bottle. | 第一个提示在一个瓶子里。
But where is the bottle? | 但是瓶子在哪呢？
I can see it! | 我看到了！
Peppa has found the first clue. | 佩奇找到了第一个提示了。
A message in a bottle. | 装在瓶子里的纸条。
Look, everyone!Here's the bottle! | 大家看！这里有个瓶子！
Well done, Peppa! | 做得好，佩奇！
Let's see what the message says. | 让我们看看纸条上说什么。
Oh it's a message from a pirate! | 哦，它是来自海盗的纸条！
Mummy? Can you readthe pirate's message? | 妈妈？你能帮我念一下海盗纸条吗？
Hmm... This pirate hasvery bad handwriting. | 嗯。。。这个海盗的字写得真难看。
The pirate's handwriting is excellent. | 海盗的字写得挺不错的。
No, I can't make it out at all. | 不，我根本看不明。
The pirate has clearly written, | 海盗写得很清楚，
"Follow the arrows!" | “跟着箭头走！”
Follow the arrows? | 跟着箭头走？
George has found the second clue! | 乔治找到了第二个提示！
Sticks in the shape of an arrow! | 箭头贴纸！
Look! They point this way! | 看！它们指向这边！
Peppa and George are following the arrows. | 佩奇和乔治跟着箭头来走。
Look, George! A key! | 看，乔治！一条钥匙！
Peppa has found the next clue. A key! | 佩奇找到了下一个提示。一条钥匙！
Well done, Peppa! | 干得好，佩奇！
Now you just have to find the treasure chest that it unlocks. | 现在你只要找到宝箱，然后打开它。
But there aren't any more clues. | 但是没有更多的线索了。
Maybe you should take another look at the map... | 也许你应该再看一看地图。。。
Look, Peppa, the maphas two apple trees on it. | 看，佩奇，地图上有两棵苹果树。
Here's an apple tree! | 这有棵苹果树！
And here's an apple tree! | 这也有棵苹果树！
So the treasure must be here! | 所以宝藏一定在这里了！
Let's take a look! | 让我们来看看！
Oh, dear. There doesn'tseem to be anything here... | 哦，天啊。这看起来不像有东西在。。。
Hang on! There is something here! | 等一下！这里有东西！
Wow! Treasure! | 哇！宝藏！
Hurray! | 好耶！
Well done! Well done! | 做得好！做得好！
I've got the key to open it! | 我有钥匙打开它！
Wow! I can't believe it! | 哇！我不敢相信！
Gold coins! They must be worth a fortune! | 居然是金币！它们一定很值钱！
It's better than that! | 比那更好！
They are not gold coins, | 他们不是金币，
they are chocolate coins! | 他们是巧克力金币！
And there's a chocolatecoin for everybody. | 每个人都有巧克力金币。
Hurray! | 好耶！
Peppa and George love chocolate coins. | 佩奇和乔治喜欢巧克力金币。
Everyone loves chocolate coins. | 大家都喜欢巧克力金币。
Granny, Grandpa, | 奶奶，爷爷，
this is the best treasure hunt ever! | 这是最好玩的寻宝游戏！
