I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
The Museum! | 博物馆!
Peppa and her family are going to the museum. | 佩奇和家人去博物馆参观。
Daddy, what is a museum? | 爸爸，什么是博物馆？
It's a place full of interestingthings that are very old. | 它是一个存放古老又有趣的东西的地方。
Older than you? | 比你还老吗？
Yes, even older than me. | 是的，甚至比我还老。
Ooooo! | 哦~！
Really old. | 真的很老耶。
There is one room full of things that belonged to kings and queens from long ago. | 有间房间放满属于很久以前的国王和王后的东西。
I want to see the king and queen's room! | 我想去看看国王和王后的房间！
And there's another roomwith a real dinosaur. | 另外一个房间有真正的恐龙。
Wow! Dine-Saw! Grrr. | 哇！恐龙！咯。
Hello, Mummy Pig! | 你好，猪妈妈！
Hello, Ms. Rabbit | 你好，兔女士。
How many tickets, please? | 请问要多少张票？
Two adults and two children. | 两张成人票和二张儿童票。
Dine-Saw! Grrrr. | 恐龙！咯。
And a dinosaur! | 也给恐龙一张票！
Peppa wants to see the room full of things that belong to kings and queens from long ago. | 佩奇想去看放满很久以前的国王和王后的东西的房间。
Wow! | 哇！
Dine-Saw? | 恐龙？
But George wants to see the real dinosaur. | 但是乔治想去看真正的恐龙。
Don't worry, George. | 别担心，乔治。
We will see the dinosaur next. | 我们接着会去看恐龙的。
Peppa, these are all the thingsthat the queen had a long time ago. | 佩奇，这些东西都是很久以前国王和王后所拥有的。
This is the queen's special chair. | 这是王后特制的椅子。
It's called a throne. | 它叫宝座。
It's beautiful! | 它好漂亮啊！
This is the queen's dress. | 这条是王后的裙子。
It's so pretty! | 它是那么漂亮啊！
Look, Peppa. This is thequeen's golden crown. | 看，佩奇，这是王后的金色皇冠。
Wow! What lovely things! | 哇！多么漂亮的东西！
Mummy, where is thequeen's television? | 妈妈，王后的电视机放在哪？
They didn't have television then. | 他们那时没有电视。
No television! | 居然没有电视。
But they did have computers? | 但他们有电脑吧？
No, they didn't have computers, either. | 没有，他们也没有电脑。
What did they do all day? | 他们整天干些什么呀？
Mummy, if I was the queen, | 妈妈，如果我是王后，
I would eat as much cake as I wanted. | 我想吃多少蛋糕就吃多少。
Peppa imagines being a queen. | 佩奇想像成为一个王后。
Mmmmm... delicious! | 嗯。。。太好吃了！
Is there anything else you would care for, Queen Peppa? | 有什么你还想要的，佩奇王后？
Yes! More cake, please! | 好的！再来点蛋糕吧！
Of course. | 当然可以。
Come on, everyone. | 大家都来这里。
Coming, Daddy! | 来了，爸爸！
Daddy! I'm Queen Peppa! | 爸爸！我是佩奇王后！
You must bow when you speak to me. | 当你跟我说话时你必需要鞠躬。
Oh! I'm most terribly sorry, | 哦！我深感抱歉，
your royal highness. | 王后陛下。
And what do you do? | 你是干什么的？
I'm your daddy. | 我是你的爸爸。
Hmmm, that must be very interesting. | 嗯，这一定很有意思。
Yes! It's very interesting! | 是的！非常有意思！
And what room is this? | 这间房间是干什么的？
This is the dinosaur room. | 这是恐龙屋。
The dinosaur room? | 恐龙屋？
George! This is the dinosaur room! | 乔治！这就是恐龙屋了！
Dine-saw! | 恐龙！
Where is the dinosaur? | 恐龙在哪里呢？
He's somewhere in the room. | 他在屋里某个地方。
I can't see him. He must be very small. | 我看不到他。他一定非常小了。
Actually, Peppa, he's very big! | 事实上，佩奇，他个子很大！
Wow. | 哇。
These are the bones of a real dinosaur. | 这些都是真恐龙的骨头。
Dine-Saw! | 恐龙！
ROOOAAARRR! | 吼~！
George imagines being a big dinosaur. | 乔治想像变成一条大恐龙。
It's a dinosaur! Help! Help! | 一条恐龙！救命！救命！
RRROOOAAARRR! | 吼~！
The dinosaur room is George's favorite room! | 这间恐龙屋是乔治最喜欢的房间！
My favorite room is the king and queen's room. | 我最喜欢的是国王和王后的房间。
And it looks as if Daddy Pig is already in his favorite room. | 看来爸爸好像已经到了他最喜欢的房间了。
Which room is that, Mummy? | 那是什么房间，妈妈？
The room with the cakes in. | 有很多蛋糕的房间。
Daddy Pig's favorite roomis the museum cafe. | 猪爸爸最爱的房间是博物馆的餐厅。
Come on, tuck in! | 来吧，尽情吃吧！
Oh, yes! This is a very nice room! | 哦，是的！这真是最好的房间！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
