Hide and Seek | 捉迷藏
Peppa and George are playing hide and seek. | 佩奇和乔治在玩捉迷藏。
Peppa and George are playing hide and seek. | 佩奇和乔治在玩捉迷藏。
It is George's turn to hide. | 现在轮到乔治藏了。
He must quickly find somewhere to hide before Peppa finishes counting! | 他必须要在佩奇数完数前赶快找地方藏起来。
He must quickly find somewhere to hide before Peppa finishes counting! | 他必须要在佩奇数完数前赶快找地方藏起来。
One... two... three... | 一。。。二。。。三。。。
four... five... six... seven... | 四。。。五。。。六。。。七。。。
George has found somewhere to hide, | 乔治找到地方藏起来了
eight... | 八。。。
just in time! | 正好及时藏了起来！
nine... | 九。。。
ten... | 十。。。
Ready or not. | 准备好了没。
Here I come! | 我来找了。
Peppa has to find where George is hiding. | 佩奇要找到乔治藏在哪。
Found you! | 找到你了！
Peppa has found George. | 佩奇找到了乔治。
George, I could see you too easily. | 乔治，我很容易就看到你了。
Now it is Peppa's turn to hide. | 现在轮到佩奇藏了。
One... erm... three. | 一。。。嗯。。。三。
I'll help George to count. | 我来帮乔治来数数吧。
One... two... three... four... five... | 一。。。二。。。三。。。四。。。五。。。
six... seven... eight... nine... ten! | 六。。。七。。。八。。。九。。。十！
Okay, George, open your eyes! | 好了，乔治，挣开你的眼睛吧！
George has to find where Peppa is hiding. | 乔治要找到佩奇藏在哪。
Oh. | 哦。
Peppa isn't hiding under the table. | 佩奇没有藏在桌底。
George, have you thought oflooking upstairs? | 乔治，你有没有想过上楼上看看？
Peppa isn't under the bed. | 佩奇也没有藏在床底下。
What was that strange noise? | 那是什么奇怪的声音?
Peppa isn't behind the curtain. | 佩奇也没有藏在窗帘后。
There is that strange noise again! | 奇怪的声音又出现了！
What can it be? | 那是什么呢？
George has found where Peppa was hiding. | 乔治找到佩奇藏在哪了。
George found me! | 乔治找到我了！
Now it's Daddy's turn to hide! | 现在轮到爸爸来藏了！
Oh, I think George should have another turn. | 哦，我想乔治应该再藏一次。
But George isn't very good at hiding... | 但是乔治不善于藏。。。
I'm sure he'll be better this time. | 我相信他这次会藏得很好的。
Close your eyes and start counting. | 闭上你的眼睛开始藏吧。
One... two... | 一。。。二。。。
three... four... | 三。。。四。。。
Oh, dear. Peppa will easily find George. | 哦，糟糕。佩奇会很容易找到乔治的。
five... | 五。。。
six... George! | 六。。。乔治！
Come over here... seven... | 过来这边。。。七。。。
eight... nine... ten! | 八。。。九。。。十！
Ready or not, here I come! | 准备好了没，我来找了！
Oh, George isn't hiding under the table! | 哦，乔治没有藏在桌底下！
But George always hides under the table! | 但是乔治以前总藏在桌底下的！
Have you thought of looking upstairs? | 你有没有想过看看楼上呢？
I know where he is! | 我知道他在哪了！
George is in the toy basket. | 乔治肯定藏在玩具篮里。
Oh. | 哦。
George is not in the toy basket! | 乔治没有藏到玩具篮里！
Where can he be? | 他在哪呢？
Peppa can not find George anywhere. | 佩奇哪也找不到乔治。
Daddy? I can't find George anywhere. | 爸爸？我找不到乔治。
Oh, dear, I wonder where he can be. | 哦，这样啊，我知道他藏到哪。
Actually, I think there's somethingabout George in this newspaper... | 事实上，我想报纸上有些关于乔治的消息。。。
Actually, I think there's somethingabout George in this newspaper... | 事实上，我想报纸上有些关于乔治的消息。。。
George! Found you! | 乔治！我找到你了！
Oh, George! | 哦，乔治！
That was a good place to hide! | 那真是一个捉迷藏的好地方！
George was hiding behind Daddy Pig's newspaper all the time! | 原来乔治一真藏在猪爸爸的报纸后面！
George was hiding behind Daddy Pig's newspaper all the time! | 原来乔治一真藏在猪爸爸的报纸后面！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
