Grandpa Pig's Boat | 猪爷爷的船
Granny Pig and Grandpa Pig | 猪爷爷和猪奶奶
are taking Peppa and George out for a day on the river. | 要带佩奇和乔治外出去河上玩一天。
Welcome aboard, me hearties! | 欢迎上船，我的小宝贝们！
Peppa, George, let's put your life-jackets on. | 佩奇，乔治，你们快穿上救生衣吧。
When Peppa and George are on Grandpa Pig's boat, | 当佩奇和乔治上猪爷爷的船玩，
they must wear life-jackets. | 他们必须得穿上救生衣。
On this boat, I'm the captain. | 在这艘船上，我就是船长。
Aye-aye, Captain! | 说得没错，船长！
Aye-aye, Captain! | 没错，船长！
When Captain Grandpa tells you all to do something, | 如果船长爷爷要你们去做事情，
you must do it. | 你们必须照做。
Unless it's something silly. | 除非是一些不明智的事。
Captain Grandpa never says anything silly. | 船长爷爷是不会说一些不明智的事。
Of course not, Captain Grandpa. | 当然不会啦，船长爷爷。
George! Raise the flag! | 乔治，把旗子升起来！
Peppa! Ring the bell! | 佩奇，敲响铃铛！
Aye-aye, Captain! | 是的，船长！
Granny Pig! Take the wheel! | 猪奶奶，你来掌舵！
Aye-aye, Captain! | 是的，船长！
Full sail! | 全速前进！
Full sail! | 全速前进！
Maybe you should go a little slower, Grandpa Pig. | 也许你应该开慢一点，猪爷爷！
Good idea, Granny Pig. | 这是一个好主意，猪奶奶！
I don't want to use up all my petrol. | 我不想一下子把油都用完了。
Grandpa, I liked it when we went fast. | 爷爷，我更喜欢开得快的感觉！
Don't worry, Peppa, we'll go fast later! | 不用担心，佩奇，我们一会再开快点！
Look! There's another boat! | 瞧！那里也有一艘船！
Here's Granddad Dog. | 原来是狗爷爷。
He's taking Danny Dog out for a day on the river. | 今天，他也带丹尼出来玩。
Ahoy there, Granddad Dog! | 哦呵，你好！ 狗爷爷！
Ahoy there, Grandpa Pig! | 哦呵，你好！ 猪爷爷！
Hello, Danny!! | 你好，丹尼！
Hello, Peppa! | 你好，佩奇！
Granddad Dog is Grandpa Pig's very best friend. | 狗爷爷是猪爷爷非常要好的朋友。
I'm surprised your boat is still afloat,Granddad Dog. | 我很惊奇你的船还能浮起来，狗爷爷。
It must be almost as old as you are! | 你的船和你差不多一样老了！
Woof! This old boat can go faster than your rusty bucket any day, | 汪！这艘老船能走得比你那个锈桶快，
Grandpa Pig. | 猪爷爷。
Alright, you old sea-dog, race you! | 好吧，你这老海狗，和你比一场！
Prepare to lose, water-hog! | 准备输吧，你这水猪！
You two are acting like little children! | 你们俩个怎么表现得像一个小孩子一样！
Granddad Dog called me a water-hog. | 狗爷爷刚才叫我水猪。
You called him a sea-dog first, Grandpa. | 明明是你先叫他海狗的，爷爷！
You should say ''sorry''. | 你应该说声“对不起！”
Only if he says ''sorry'' first. | 除非他先说“对不起！”我才说。
Granddad, say ''sorry'' to Grandpa Pig. | 爷爷，说声“对不起！”吧。
He is your best friend. | 他是你最好的朋友。
No. He's a water-hog and my boat is faster than his. | 不要。他就是水猪，而且我的船就是比他的船快。
Alright, sea-dog! Let's race to the next bridge! | 那好吧，海狗！我们就来比赛，看谁先到达下一座桥！
On the count of three. | 数到三就开始。
One... Two... | 一。。。二。。。
GO!!! | 开始！！！
You started too soon! | 你怎么提前开始了！
Catch me if you can, water-hog! | 有本事就追上我呀，水猪！
woof! woof! | 汪！汪~！
Sea-dog! Is that as fast as you can go? | 海狗！这应该是你最快的速度了吧？
Can't catch me! I win! | 追不上我了吧！我赢了！
Oh, dear. Grandpa Pig's boat has run out of petrol. | 哦，糟糕，猪爷爷的船没有油了！
Very clever, Captain Grandpa. | 你真聪明，船长爷爷。
Maybe I did go a bit too fast. | 可能我真的开得太快了吧。
How will we get home? | 我们该如何回家呢？
Look, there's Granddad Dog! | 瞧，狗爷爷过来了！
Granddad Dog can tow us home! | 狗爷爷可以拖我们回家！
I'm not being towed by that sea-dog. | 我可不想海狗拖我的船回家。
I haven't offered to tow the water-hog. | 我也没有打算要拖水猪回家的。
Will you two ever grow up? | 你们俩个怎么还没有长大呢？
Grandpa, say ''sorry'' to Granddad Dog. | 爷爷，快跟狗爷爷说声“对不起！”嘛。
I'm sorry I called you a sea-dog. | 我很抱歉，我不应该叫你海狗。
Granddad, say ''sorry'' to Grandpa Pig. | 爷爷，你就跟猪爷爷说声“对不起！”嘛。
I'm sorry I called you a water-hog. | 我很抱歉，我不应该叫你水猪。
That's nice. Granddad Dog, | 这真是太好了！狗爷爷，
Would you be so kind as to tow us home? | 不知道你能否可以拖我们回家呢？
It would be my pleasure, madam! | 这是我的荣幸，夫人！
Catch this, Captain! | 捉住这条绳子，船长！
Aye-Aye, Skipper! | 哦，好的，船长！
Granddad Dog is Grandpa Pig's very best friend! | 狗爷爷是猪爷爷最要好的朋友！
Woof woof! | 汪~汪~！
Granddad Dog is towing Grandpa Pig's boat home. | 狗爷爷拖着猪爷爷的船回家了。
The main thing is I won the race. | 主要的一点是我赢了这场比赛。
Grandpa Pig! | 猪爷爷！
Naughty Grandpa Pig! | 淘气的猪爷爷！
Peppa! Ring the bell! | 佩奇，敲响铃铛吧！
Aye-Aye, Captain Grandpa! | 是的，船长爷爷！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
