School Play! | 学校戏剧！
Peppa's playgroup are going to put on a play. | 佩奇的学校戏剧组准备上演戏剧
The Little Red Riding Hood. | 童话故事-小红帽
Hurray. | 好哦！
All the children have parts in the play. | 所有的孩子都参加。
They have to practice at home. | 他们必须在家里练习。
Peppa is going to be the Little Red Riding Hood. | 佩奇要饰演的是小红帽。
Mummy Pig has made her costume. | 猪妈妈给她做了戏服。
Daddy Pig is helping Peppa practice. | 猪爸爸正在帮佩奇练习。
Okay, Peppa, what do you say? | 好了，佩奇，你该说什么？
I'm Little Red Riding Hood. | 我的名字叫小红帽。
Very good. Then what? | 非常好。然后是什么？
Um. | 嗯。
I'm going to visit my grandma!" | 我要去看我的奶奶了！
I'm going to visit my grandma! | 我要去看我的奶奶了！
Bravo, Peppa. | 太棒了，佩奇。
Danny Dog is going to play the Big Bad Wolf. | 小狗丹尼饰演大灰狼。
Woof Woof! | 汪！汪!
Granddad Dog and Mummy Dog are helping him practice. | 丹尼的爷爷和妈妈正在帮他练习。
I'm the Big Bad Wolf. | 我是一只大灰狼。
Try not to laugh, Danny. | 尽量不要笑啊，丹尼。
You should be a bit scarier. | 你应该表现得有点可怕。
Try it like this, Danny. | 试着这样，丹尼。
I'm the Big Bad Wolf! | 我是一只大灰狼。
I'm going to eat you all up! | 我要把你吃掉！
GRRRRRRR! | 哇~~~！
You see? | 你明白没？
Yes! That was really scary! | 是的！那样确实很吓人！
Pedro Pony is going to play the Hunter. | 小马佩德罗来扮演猎人。
He will rescue Peppa from the Big Bad Wolf. | 他会从大灰狼手中拯救佩奇。
Um. I'm the Hunter...and... | 唔。我是猎人。。还有。。。
Pedro is a bit shy. | 佩德罗有点害羞。
Neigh, you say, | 嘶~，你要说
"I'm going to chase you away, you Big Bad Wolf!" | “我要把你赶跑，你这坏蛋大灰狼！”
Um. Go away, naughty wolf. | 嗯。走开，你这顽皮的狼。
Very good, Pedro. | 非常好，佩德罗。
Rebecca Rabbit is going to be the Grandma. | 小兔瑞贝卡要扮演奶奶。
What do I say, Mummy? | 我要说什么，妈妈？
Lets' see. | 让我瞧瞧。
At the start of the play, | 这出戏的开始，
you get locked in a cupboard by the Big Bad Wolf. | 你被大灰狼锁进了柜子里边。
Then, right at the end of the play, | 然后，在剧的最后，
you are rescued by the Hunter. | 你被猎人拯救了。
And you say, "Thank you." | 然后你说“谢谢!”
Thank you. | 谢谢!
Very good, Rebecca. | 非常好，瑞贝卡。
Everyone has come to see the school play! | 大家都来看学校舞台剧了。
Ladies and gentlemen, welcome to our play, | 女士们，先生们，欢迎来看我们的舞台剧，
"The Little Red Riding Hood". | 童话故事“小红帽”。
First, let us meet the actors! | 首先，来请我们的演员上台！
Please, please! For the sake of the actors, | 各们，各们！为了我们的小演员好，
no photography, please! | 请不要照相！
And now our play begins! | 我们的戏剧现在正式开始！
Grandma is at home. | 小红帽的奶奶一个人在家里。
But who is this visitor? | 是谁来看望奶奶呢？
Woof woof! I'm the Big Bad Wolf. | 嗷嗷！我是一只大灰狼。
Well done, Danny! | 演得好，丹尼！
Um. | 呃。
Oh, dear. Danny has forgotten what he says next. | 哦，糟糕了。丹尼忘记了下一句该说什么了。
Grandma, you must go in the cupboard. | 奶奶，你得躲进柜子里边去。
Woof! Go in the cupboard! | 嗷！躲进柜子里边去。
The Big Bad Wolf is pretending to be Grandma! | 现在大灰狼假装自己就是奶奶了！
Ooooh! | 哦~！I am Little Red Riding Hood.谢谢你。我的名字是小红帽。
Bravo!I'm going to visit my grandma. | 演得好！我要去看望奶奶了。
Bravo! Bravo!Bravo, Peppa! | 演得好！演得好！太棒了，佩奇！
Bravo!Daddy! You must not take photos! | 演得好！爸爸！你不能在这里拍照片！
Pedro, you were very good.Oops! Sorry, Peppa! Carry on. | 佩德多，你演得很好。嘘！对不起，佩奇！继续.
You were almost as good as me.I'm going to visit my grandma. | 你演得跟我一样好。我要去看望奶奶了。
Oh. You don't look like my grandma. | 哦。你看上去不像是我的奶奶啊
What big eyes you have. | 你的眼睛好大啊。
What big teeth you have. | 你的牙齿也好大啊。
Grrr! | 嗷！
You are not Grandma! | 你根本不是我的奶奶！
You are the Big Bad Wolf! | 你是坏蛋大灰狼！
Ooo... | 呜...
Help! Oh, help! | 救命啊！哦，救命啊！
But look who is here! | 看看谁来了！
Just in time! Pedro the Hunter! | 来得很及时啊！猎人佩德多来了！
Help! Oh, help! | 救命啊！哦，救命啊！
Just in time! Pedro the Hunter! | 来得很及时啊！猎人佩德多来了！
Pedro is a bit shy. | 佩德罗有点害羞。
Pedro, would you like me to come on with you? | 佩德罗，需要我跟着你吗？
Yes, please. | 是的，谢谢。
You are a very naughty wolf. | 你真是一只顽皮的大灰狼。
I've saved you, Grandma. | 我救出你了，奶奶。
Hurray. | 太好了。
