The Playgroup | 乔治第一天上幼儿园
Peppa and George are going to the playgroup. | 乔治和佩奇一起去幼儿园。
It is George's first day. | 这是乔治第一天去幼儿园。
George, are you looking forward to the playgroup? | 乔治，你是不是很期待去幼儿园呢？
Daddy, maybe George is too small to go to my playgroup? | 爸爸，乔治会不会年纪太小不适合上幼儿园啊？
He'll be fine, Peppa. | 他会很好的，佩奇。
There'll be you and Mr. Dinosaur there to keep him company. | 有你和恐龙先生陪在他的身边的。
Grrr! Dine-Saw! | 咯~！恐龙！
But I want to play with the big children! | 但我想和其他大一点的小朋友玩！
Not George and his toy dinosaur. | 不想和乔治和他的恐龙玩具玩。
Oh dear, Peppa doesn't want George to go to her playgroup. | 哦，天啊，佩奇不想和乔治一起去幼儿园。
We're here! | 我们到了！
Daddy, are you sure George is big enough? | 爸爸，你确定乔治能上幼儿园吗?
He'll be fine. | 他会好好的。
Alright, he can come. | 那好吧，他来吧。
Bye bye. | 再见。
Madame Gazelle looks after the children at the playgroup. | 羚羊夫人在照看幼儿园里的小朋友。
Hello! This is my little brother, George. | 你们好！这是我的弟弟，乔治。
Hello, George. | 你好，乔治。
Baa! I wish I had a little brother like George. | 咩！我希望我也有一个像乔治一样的弟弟。
Really? | 真的吗？
Hello! I'm Danny Dog. | 你好！我是小狗丹尼。
Woof woof! Is that a dinosaur? | 汪~汪~！那个是恐龙吗？
It's just a toy dinosaur. | 那只是个玩具恐龙。
Grrr! Dine-Saw! | 咯~！恐龙！
Brilliant! Woof woof! | 好棒啊！汪~汪~！
Dine-Saw! Grrr! | 恐-龙！咯~！
Aaaaaggghh! | 啊~~~！
Dine-Saw! Grrr! | 恐-龙！咯~！
Aaaah, really scary. | 啊~！真的很吓人。
That's brilliant! | 真的很棒！
George is my brother. | 乔治是我的弟弟。
He's brilliant. | 他真的很棒！
Peppa is proud of her little brother, George. | 佩奇为她的弟弟感到自豪。
Shall we show George how we paint pictures? | 我们让乔治看看我们是怎么画画的？
George is not very good at painting. | 乔治不善于画画。
Well, maybe you could help him? | 那么，也许你能帮帮他吧？
Yes, I'm very good! | 是的，我很会画画！
I will show him how to paint a flower. | 我会教他怎么去画一朵小花。
George, today I'm going to teach you how to paint a flower. | 乔治，今天我会教你怎么去画一朵小花。
First, you paint a big circle. | 首先，你画一个大大的圆圈。
No, George, that's the wrong color. | 不对，乔治，颜色不对。
Now you paint the flower's petals. | 现在你再画花瓣。
George! That's the wrong shape! | 乔治！形状不对！
Now you paint the stalk and the leaves. | 现在你再画茎和叶子。
Perfect! | 完美！
George, you've done it all wrong! | 乔治，你全画错了！
Now what do we have here? | 现在我们这里有什么画呢？
I've painted a flower. | 我画了一朵花。
That's very good, Peppa. | 画得真好，佩奇。
And George has painted a dinosaur. | 乔治画了一只恐龙。
Grrr... Dine-Saw! | 咯。。。恐龙！
Woof! Brilliant! | 汪！真棒！
I think George and Peppa's pictures should go on the wall. | 我认为乔治和佩奇的画都应该挂在墙上。
Hurray! | 好啊！
Peppa, You must be very proud of your little brother. | 佩奇，你的弟弟一定让你感到很自豪。
Yes, I am. | 是的，我觉得是的。
It is home time and | 放学了
the children's parents arehere to pick them up. | 家长们来接小朋友回家了。
Can George come next time? | 乔治下次还能来吗？
Yes, and he can paint usanother lovely picture. | 是的，他还能给我们画其它可爱的画。
And what will you paint next time, George? | 乔治，你下次会画什么呢？
Dine-Saw! Grrr! | 恐龙！咯~！
Another dinosaur picture? | 再画另外一张恐龙吗？
Well, maybe you can show us allhow to paint a dinosaur? | 好的，也许你可以教教大家如何去画恐龙。
Well, maybe you can show us allhow to paint a dinosaur? | 好的，也许你可以教教大家如何去画恐龙。
Woof! Brilliant! | 汪~！太棒了！
Yes! Brilliant! | 是的，太棒了！
Bri-y-ant! | 太-棒-了！
