Gardening! | 花园种菜！
Peppa and George are playing at Granny Pig and Grandpa Pig's house. | 佩奇和乔治在猪爷爷和猪奶奶家里玩。
Grandpa! Catch! | 爷爷！接住！
Catch! | 接住了！
What's this? | 这是什么？
Dine-Saw! Grrrrr! | 恐-龙！咯~！
A dinosaur! | 原来是只恐龙啊！
Grandpa, what are you doing? | 爷爷，你在干什么？
I'm planting these seeds. | 我在播种啊。
Seeds? What do seeds do? | 种子？种子是干什么的？
Seeds grow into plants. | 种子会长成植物。
I just make a little hole and put the seed in. | 我先挖个小坑然后把种子放进去。 
Then I cover it with earth and water it. 然后盖上土并浇上水。
Everything in my garden grows from tiny seeds like these. | 我花园里所有东西都是从这样小的种子长成的。
Even the big apple tree? | 即使大苹果树也是吗？
Oh! Yes! | 哦！是的！
This tiny seed... | 这小小的种子。。。
...will grow into a little apple tree, like this. | 。。。会长成 一棵小苹果树，像这棵。
Oooh. | 哦~！
And that little apple tree will grow into a big apple tree like this. | 然后这些小苹果树会长成像这样大的苹果树。
Ouch! | 嗷~！
Mmmm ! | 嗯~！
And inside this apple are more seeds. | 这苹果里还有很多这样的种子。
To make more apple trees! | 可以长出更多的苹果树！
Exactly! | 说得没错！
Grandpa! Grandpa! I want to plant a seed! | 爷爷！爷爷！我想种一粒种子！
Would you like to plant a strawberry seed? | 你想不想种粒草莓种子？
Yes, please! | 是的!
This seed will grow into a lovely strawberry plant. | 这个种子会长成一棵可爱的草莓。
First, make a little hole. | 第一步，挖一个小洞。
Then I put the seed in and cover it with earth. | 然后我把种子放在里面再埋上土。
Shall I water it for you? | 需要我来浇水吗？
No! No! I want to water it. | 不要！不要！我想自己来浇水。
Good! Now we wait for it to grow. | 好的！现在我们来等它长大。
Peppa and George are waiting for the seed to grow. | 佩奇和乔治等着种子发芽。
It's not doing anything! | 怎么一点动静也没有！
You will have to be patient, Peppa. | 你要有耐心，佩奇。
It will take a long time to grow. | 它需要很长的时间才能发芽。
Peppa! George! It's time to go home. | 佩奇，乔治，是时候回家了！
But we're waiting formy strawberry plant to grow! | 但是我在等着我的草莓发芽！
I wanted strawberries for teas. | 我还等着草莓来泡茶呢。
Don't worry, Peppa. | 不用担心，佩奇。
Next time you come, | 下次你来的时候，
the seed will have grown into a plant. | 这些种子就会长成草莓苗。
And we will have strawberries! | 我们就有草莓吃了！
Yes. | 是的。
Come on, Peppa. | 来吧，佩奇。
Bye bye, Grandpa.Bye bye, strawberry. | 再见，爷爷。 再见，草莓。
Grandpa Pig looks after Peppa's strawberry plant. | 猪爷爷照看着佩奇的草莓苗。
After many days, | 过了几天，
Grandpa Pig finds a tiny plant growing. | 猪爷爷发现一棵小幼苗长出来了。
Day by day, the plant grows bigger and bigger. | 日复一日，草莓苗越长越大。
Then one day, Grandpa Pigfinds something very special. | 然后有一天，猪爷爷发现了一些特别的东西。
Strawberries! | 是草莓！
Grandpa! We're back! | 爷爷！我们来了！
Peppa and George have come to play again. | 佩奇和乔治又来玩了。
Grandpa! Grandpa! Did my plant grow? | 爷爷！爷爷！我的草莓苗长大了吗？
Yes! Look! | 是的！你看！
Oooo! | 哦~！
Strawberries! | 是草莓！
Thank you, Grandpa! | 谢谢你，爷爷！
Grandpa, can we plant something else? | 爷爷，我们能不能种点别的呢？
Yes! Now, it's George's turn to choose. | 是的！现在，轮到乔治选。了
Yes! You choose, George. | 没错！乔治，你来选吧。
Choose... a carrot! | 选。。。胡萝卜！
Grandpa, I think Georgewants to grow a carrot. | 爷爷，我想乔治想种胡萝卜。
George, would youlike to grow a carrot? | 乔治，你想种胡萝卜？
No! | 不要！
What would you like to grow? | 那你想种什么呢？
George has thought of something he wants to grow. | 乔治想到他想种的东西了。
Dine-Saw! | 恐-龙！
George wants to grow a dinosaur tree! | 乔治想种一棵恐龙树！
Silly George! | 糊涂的乔治！
Dinosaurs don't grow on trees. | 恐龙是不会长成恐龙树的。
Dine-saw. Grrrrr.... | 恐-龙。咯。。。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
