+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Muddy Puddles. | 泥坑
It is raining today. | 今天下雨了。
So, Peppa and George cannot play outside. | 所以佩奇和乔治不能在外边玩了。
Daddy, it's stopped raining. | 爸爸，现在雨停了。
Can we go out to play? | 我们能出去玩吗？
Alright, run along you two. | 好的，你们俩个去玩吧。
Peppa loves jumping in muddy puddles. | 佩奇最喜欢在泥坑里玩。
I love muddy puddles. | 我最喜欢在泥坑里玩了。
Peppa. lf you jump in muddy puddles, | 佩奇。如果你要在泥坑里跳，
you must wear your boots. | 你必须要穿上靴子才行。
Sorry, Mummy. | 对不起，妈妈。
George likes to jump in muddy puddles, too. | 乔治也喜欢在泥坑里跳。
George. If you jump in muddy puddles, | 我说乔治。如果你想在泥坑里跳，
you must wear your boots. | 你也必须穿上靴子才行。
Peppa likes to look after her little brother, George. | 佩奇喜欢照顾她的弟弟乔治。
George, let's find some more puddles. | 好了，乔治，我们再去找几个泥坑跳吧。
Peppa and George are having a lot of fun. | 佩奇和乔治玩得很开心。
Peppa has found a little puddle. | 佩奇找到了一个小泥坑。
George has found a big puddle. | 乔治找到了一个大泥坑。
Look, George. There's a really big puddle. | 你看，乔治。那里有一个很大的泥坑。
George wants to jump into the big puddle first. | 乔治想第一个跳到泥坑里去玩。
Stop, George.l must check if it's safe for you. | 等一下，乔治。我得检查一下这里安不安全。
Good. It is safe for you. | 很好。你可以放心地玩啦。
Sorry, George. It's only mud. | 对不起，乔治。只是些泥而已。
Peppa and George love jumping in muddy puddles. | 佩奇和乔治喜欢在泥坑里跳来跳去。
Come on, George.Let's go and show Daddy. | 来吧，乔治。我们快点去给爸爸看看。
Goodness me. | 哦，我的老天呀。
Daddy. Daddy.Guess what we've been doing. | 爸爸。爸爸。你猜猜我们刚才干了些什么。
Let me think... | 请我想一想。。。
Have you been watching television? | 你们刚才看电视了？
No. No. Daddy. | 不对，你猜错了，爸爸。
Have you just had a bath? | 你们刚才洗澡了？
No. No. | 不对。不对。
I know. You've been jumping in muddy puddles. | 我知道了。你们刚才在泥坑里跳来跳去。
Yes. Yes. Daddy. We've been jumping in muddy puddles. | 没错。没错。爸爸。我们刚才在泥坑里跳来跳去。
Ho. Ho. And look at the mess you're in. | 呵呵。看看你们弄得多脏呀。
Oooh... | 糟糕。。。
Oh, well, it's only mud. | 哦，没事，只是些泥而已。
Let's clean up quickly before Mummy sees the mess. | 快清理干净，别让妈妈看到那么脏。
Daddy, when we've cleaned up, | 爸爸，我们清理干净以后，
will you and Mummy come and play, too? | 你和妈妈也会一起来玩吗？
Yes, we can all play in the garden. | 是的，我们都可以在花园玩。
Peppa and George are wearing their boots. | 佩奇和乔治穿上他们的靴子。
Mummy and Daddy are wearing their boots. | 猪妈妈和猪爸爸也穿上他们的靴子。
Peppa loves jumping up and down in muddy puddles. | 佩奇喜欢在泥坑里跳来跳去。
Everyone loves jumping up and down in muddy puddles. | 每个人都喜欢在泥坑里跳来跳去。
Oh, Daddy pig,look at the mess you're in. | 哦，看啦，猪爸爸，瞧瞧你身上多脏呀。
lt's only mud. | 只是些泥而已。
I'm Peppa Pig.This is my little brother, George. | 我是小猪佩奇。这是我的弟弟，乔治。
This is Mummy Pig. | 这是妈妈。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Mr. Dinosaur is Lost. | 恐龙先生不见了
George's favourite toy is Mr. Dinosaur. | 乔治最喜欢的玩具是恐龙先生。
DineDine SawSaw. | 恐龙
George loves Mr. Dinosaur. | 乔治最喜欢恐龙先生了。
Grrrrrrrrrrrrrrrr.. | 咯~~~~~~~~~~~
Sometimes,  George  likes  to  scare  Peppa  with  Mr.Dinosaur. | 有时候，乔治喜欢用恐龙先生吓唬佩奇。
Grrrrrrrrrrrrrrrrrrrr. | 咯~~~~~~~~~~~
Eeek. Too scary. | 呃。 太吓人了。
At suppertime, | 吃晚饭时，
Mr. Dinosaur sits next to George. | 恐龙先生坐在乔治的身边。
I beg your pardon. | 很抱歉。
