Bicycles! | 自行车！
It is a lovely, sunny day, | 今天是令人愉快，阳光灿烂的一天，
and Peppa and George are riding their bicycles. | 佩奇和乔治在骑自行车。
That's a fine pumpkin, Daddy Pig! | 这真是一个很不错的南瓜，猪爸爸！
Daddy Pig is very proud of his pumpkin. | 猪爸爸对他的南瓜感到很自豪。
Pumpkins are the only thing I can grow. | 南瓜是我唯一能种的东西。
Probably because I love pumpkin pie! | 这可能因为我喜欢吃南瓜派吧！
Come on, George. | 快点，乔治。
Danny, Suzy, Rebecca! | 丹尼，苏茜，瑞贝卡！
Peppa and her friends, | 佩奇和她的朋友们，
Danny Dog, Suzy Sheep and Rebecca Rabbit,are riding their bicycles. | 小狗丹尼，小羊苏茜和小兔瑞贝卡在骑自行车。
George is riding his tricycle. | 乔治正骑着自行车。
He's going so slowly. | 他骑得很慢呀。
Let's race to Daddy Pig's pumpkin. | 让我们来进行比赛，看谁先到达猪爸爸的南瓜那里。
If We race to Daddy's Pumpkin, | 如果我们要骑到爸爸的南瓜那里，
We have to be very careful not to bump into it. | 我们得非常小心，千万别撞上去。
Daddy Would be very sad if the pumpkin got broken. | 如果南瓜撞坏了，爸爸会非常伤心的。
Don't Worry, Peppa.. | 不用担心，佩奇。。。
Race you! | 比赛开始！
Peppa and her friends are racing to Daddy Pig's pumpkin! | 佩奇和她的朋友比赛谁先到达南瓜！
Hey! Watch out for my pumpkin!! | 嘿！小心我的南瓜啊！！
Hurray! | 好了！
Peppa! Look out! Daddy's Pumpkin!!!! | 佩奇！小心点！ 爸爸的南瓜啊！！！！
Sorry, Daddy! | 对不起，爸爸！
Look at George! He's going so slowly! | 看看乔治！他骑得很慢啊！
George is still riding a baby bike! | 乔治现在还骑着儿童自行车啊！
Yours is a baby bike, too, Peppa! | 你的也是儿童自行车，佩奇！
You've still got stabilizers! | 你的车子两旁也有辅助轮！
I can ride without my stabilizers. | 我骑的自行车可没有辅助轮的。
Me, too. | 我也是。
And me. | 我也是。
Let's ride up the hill again! | 让我们再骑到山顶去！
Are you coming, Peppa? | 你能一起来吗，佩奇？
No, I think I'll stay here. | 不了，我想我要呆在这里。
See you later! | 一会见！
Bye! | 再见！
Peppa wishes she did not have stabilizers on her bicycle. | 佩奇希望她的自行车上没有辅助轮。
Daddy, I don't want stabilizers anymore. | 爸爸，我不想再有辅助轮了。
Do you think you can ride without them? | 没有辅助轮，你能骑好吗？
Yes. | 是的。
Alright, Peppa. Let's take them off. | 那好吧，佩奇。我们把辅助轮卸掉。
Daddy Pig is taking the stabilizers off Peppa's bicycle. | 猪爸爸把辅助轮从佩奇的自行车上卸掉。
Are you sure you want to ride without stabilizers? | 你确信没有辅助轮你能骑吗？
Yes! | 是的！
You've never done it before. | 可你之前没有做过。
I can do it. I can! I can! | 我可以做到的。我可以！我可以！
Arrgh! | 啊！
It's not funny! | 这一点也不好笑！
Riding Without stabilizers is not easy. | 没有辅助轮的自行车一点也不容易骑。
Would you like some help, Peppa? | 需要帮助吗，佩奇？
Yes, please, Daddy. | 是的，爸爸。
Alright. Ready... | 那好吧。准备。。。
Steady... GO! | 坐好。。。开始！
Don't let go, Daddy! | 爸爸，你不会放开吧！
Don't worry. I've got you. | 不用担心，我会抓紧你的。
You're doing really well, Peppa. | 你做得真的很好，佩奇。
Hold on, Daddy! | 抓紧，爸爸！
Just keep peddling. | 你只要一直踩踏板。
Peppa is riding on her own, without stabilizers! | 佩奇能自己骑自行车，不需要辅助轮了！
Daddy! You let go! | 爸爸！你放手了！
You've been cycling on your own for ages. | 你已经一个人骑了很久了。
Have I? | 是吗？
You're really very good at it! | 你真的骑得很好！
Am I? | 是吗？
Oh, I can do it! Look at me! | 哦，我能做到了！看看我！
Look at me! I can ride my bike properly. | 看看我！我能自己骑两轮自行车了。
Danny! Suzy! Rebecca! Look! | 丹尼！苏茜！瑞贝卡！看！
I don't need my stabilizers anymore! | 我不再需要骑有辅助轮的自行车了！
Look at me! | 看看！
Hurray! | 太棒了！
Race you to Daddy's pumpkin! | 比赛骑到爸爸的南瓜那里！
Peppa, look out my pumpkin! | 佩奇，小心我的南瓜！
I'm going to win! | 我马上就要赢了！
Peppa isn't looking where she is going! | 佩奇没有看前面的路！
Wahhhh! Oops! | 哇~~！哦！Oh, dear, Peppa has squashed Daddy Pig's pumpkin! 哦,糟糕了，佩奇把猪爸爸的南瓜撞碎了！
Sorry I squashed your pumpkin, Daddy. | 对不起，爸爸，我把南瓜撞碎了。
Never mind the pumpkin. | 不要管南瓜了。
The important thing is that you are okay. | 重要的是你没事就好。
In future, you really must look where you are going. | 以后，你真的要看路啊。
I promise I will, Daddy. | 我保证我以后会的，爸爸。
Good. Anyway, now the pumpkin is broken, | 好吧。既然现在南瓜都已经碎了，
I can make it into pumpkin pie! | 我们就用它来做南瓜派吧！
I love pumpkin pie! | 我喜欢南瓜派！
And because Daddy Pig's pumpkin is so big, | 因为猪爸爸的南瓜很大，
there will be enough pumpkin pie for everyone! | 所以我们每个人都可以吃到南瓜派了！
Hurray! | 太好了！
