Hiccups! | 打嗝！
Peppa, George, Mummy and Daddy are having breakfast. | 佩奇，乔治，妈妈和爸爸正在吃早餐。
It is a lovely, sunny day, | 今天天气明媚，阳光灿烂，
and Peppa and George can't wait to go into the garden to play. | 佩奇和乔治已逼不及待要去花园玩了。
Mummy, please, can we go out to play? | 妈妈，我们可以出去玩了吗？
You can go out to play when you finish your breakfast. | 等你们吃完早餐就可以出去玩了。
George! Don't drink your juice too quickly! | 乔治！果汁不要喝得那么快。
George drank his juice too quickly, | 乔治喝果汁喝得太快了。
and now he has hiccups. | 现在他打嗝了。
Can we go out to play now, Mummy? | 我们现在可以出去玩吗，妈妈？
Not while George has hiccups. | 现在不行因为乔治在打嗝。
But George's hiccups have gone, Mummy. | 但是乔治已经不打嗝了，妈妈。
Haven't they, George? | 没打嗝了吧，乔治？
Oh, alright, you can go out and play. | 哦，好吧，你们可以出去玩了。
But look after George. | 但是照顾好乔治。
Peppa and George love playing in the garden. | 佩奇和乔治喜欢在花园里玩。
George. I'm going to throw the ball, | 乔治。我准备扔球了，
and then you have to catch it. | 然后你要接住哦。
George, please stop hiccupping! | 乔治，请不要再打嗝了！
George! Now you throw the ball to me, | 乔治！ 现在你把球扔给我，
and I have to catch it. | 然后我接住球。
George! | 乔治！
Oh, dear, George's hiccupsare spoiling the game. | 哦，糟糕，乔治的打嗝让他们没办法玩游戏。
George... I knowhow to cure hiccups! | 乔治。。。我知道怎样治好打嗝！
You have to do what I say. | 你必须按我说的做。
Rub the top of your head and rub your tummy! | 你在挠你的头时按摸你的肚子！ Good! Now your hiccups have gone! 好！现在你的打嗝没了！
Peppa's cure for hiccupsdoesn't seem to have worked. | 佩奇治打嗝的办法没凑效。
George! You have done it all wrong! | 乔治！你完全做错了！
I know a better way to cure hiccups! | 我知道另一个更好的办法治好打嗝！
First, jump up and downthree times... on one leg! | 首先，上下跳三下。。。单腿！
Now... wave your arms up and down | 现在。。。上下挥动你臂膀
and stick your tongue out! | 并且伸出你的舌头！
... And now... close your eyes, | 。。现在。。。闭上你的眼睛，
and turn around quickly,three times! | 然后快速转三圈！
Peppa's new cure hasn't worked, either. | 佩奇的新治法也没有凑效。
George still has hiccups. | 乔治仍然打嗝。
I know! | 我知道了！
To cure hiccups, the ill piggymust be given a shock! | 要治好打嗝，必须要给打嗝的小猪惊吓才行！
George, I'm going to scare you. | 乔治，我准备吓唬你了。
But you must remember, | 但是你必须记住，
it's only a game andit will stop your hiccups. | 它只是个游戏，它可以治好你的打嗝。
Remember, this isjust pretend scaring. | 记住，这只是假装吓唬。
Waaaaaaaaaaaaaaaaah! | 哇~~~~~~~~~！
Peppa! You mustn'tplay so roughly with George! | 佩奇！你不应该和乔治玩得那么粗暴！
He's only little. | 他还很小。
Sorry, Mummy. | 对不起，妈妈。
I was just trying to stop George's hiccups. | 我只是尝试着帮乔治治好打嗝。
George's hiccups have gone! | 乔治的打嗝没了！
Here comes Daddy Pig,with two beakers of juice. | 猪爸爸走来了，拿着二杯果汁。
George! If you drink too quickly, | 乔治！如果你喝太快，
you will get hiccups again! | 你又会打嗝的！
I'm not as little as George. | 我不像乔治那么小。
I can drink juice as quickly as I want to! | 我可以想喝多快就多快！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
