Picnic! | 野餐！
It is a lovely bright, sunny day. | 今天天气明媚，阳光灿烂。
Peppa and her family are going for a picnic! | 佩奇和她的家人外出野餐！
Daddy Pig is bringing the picnic basket. | 猪爸爸带着野餐篮。
Picnic-blanket, bread, cheese,tomatoes and lemonade. | 野餐布，面包，奶酪，蕃茄和柠檬汽水。
Is there anything we've forgotten? | 有没有什么东西我们忘记了？
Mummy's strawberry cake! | 妈妈的草莓蛋糕！
I was just teasing! | 我是在逗你而已！
Mummy's home-made strawberry cake is there, too. | 妈妈亲手做的草莓蛋糕也在这里。
Is everybody ready? | 大家准备好了吗？
Ready! | 准备好了！
Then let's go! | 那我们出发吧！
This looks like just the spot for our picnic! | 这个地方看起来很适合我们野餐！
Hurray! | 好耶！
It's great to be outdoors! | 在野外真好！
We should run around a bit and get some exercise! | 我们应该稍为跑一下做点运动！
I want to eat, then have a nap. | 我想吃点东西，再睡一会。
I certainly don't want to run around. | 我可不想跑来跑去。
Maybe Daddy should run around a bit. | 也许爸爸应该跑跑。
His tummy is quite big. | 他的肚子太大了。
My tummy is not big. | 我的肚子一点也不大。
But later, I will get some exercise, | 但是稍后，我会做些运动，
even if no one else does. | 即使没有其他人做。
Let's eat! | 让我们开吃吧！
Good idea, Mummy Pig!I'm really hungry! | 好主意，猪妈妈！我真的饿了！
Hmmm... delicious! | 嗯。。。真美味！
Ahhhhh! I feel quite sleepy! | 啊~！我觉得很困了！
I thought you wanted to run around a bit, Daddy Pig? | 我记得你想到处跑跑的，猪爸爸？
Later... | 稍后吧。。。
Look! There's a little duck pond! | 瞧！那里的池塘有群小鸭子！
Mummy, can we feed the ducks? | 妈妈，我们可以喂那些鸭子吗？
Yes, you can feed them therest of the bread. | 当然，你们可以用剩余的面包喂他们。
Peppa and George love feeding bread to ducks. | 佩奇和乔治喜欢喂面包给鸭子。
Mummy, I think they want some more. | 妈妈，我想他们想要更多一些。
That was the last of the bread. | 这是最后一块面包了。
I'm sure they've had enough. | 我相信他们已经吃饱了。
Sorry, Mrs. Duck,we've no more bread. | 对不起，鸭子女士，我们没有更多的面包了。
The ducks want more food. | 鸭子们想要更多的食物。
So much for Daddy Pig and his exercise! | 猪爸爸只是说说要锻炼！
Eh? What? | 呃？怎么了？
You lot again! | 你们又来了！
Peppa told you;there's no more bread! | 佩奇，已经告诉你们：没有面包了！
Mummy, we do have strawberry cake! | 妈妈，我们还有草莓蛋糕嘛！
Well, if there's any cake left over, | 好的，如果有剩余的蛋糕，
you can give it to the ducks. | 你可以分些给鸭子们。
Everyone likes Mummy Pig'shome-made strawberry cake! | 每个人都喜欢猪妈妈亲手做的草莓蛋糕！
Eeek! A wasp! | 啊！一只黄蜂！
I hate wasps! Shooooo! | 我讨厌黄蜂！嘘~！
What a fuss, Mummy Pig! | 不要小题大作，猪妈妈！
It's only a little wasp! | 它只是一只小小的黄蜂而已！
Go away, wasp! | 走开，黄蜂！
Just stay still, Mummy Pig. | 只要呆着别动，猪妈妈。
Then it will fly away. | 然后它就会飞走的。
There! You see,all you had to do is stay still! | 飞走了！你看，你只要呆着别动就行了！
Eh! Get away! | 呃！快走开！
Scram! Whoa... Help! Whooooaaa! | 滚开！呜啊。。。救命！呜啊~~！
Shhooo! Get it off me! Whoooa! Arrgh! | 嘘~~！不要跟着我！呜~~啊！啊！
I hope the wasp doesn't sting Daddy. | 我希望黄蜂没有叮到爸爸。
Whooa! Get away, you little pest! | 呜~啊！快走开，你这只小虫子！
No, Daddy is running too fastfor the wasp to catch him. | 不会的，爸爸跑得很快黄蜂追不上他。
Whoooa! Arrgh! Shooo! | 呜~啊！啊！嘘~！
Let's eat our cakebefore the wasp comes back. | 趁黄蜂还没回来，我们吃蛋糕吧。
Oh, no! we forgot to leaveany for the ducks! | 哦，不！我们忘记了留些给鸭子们了！
I think I lost it! | 我想我逃脱掉了！
You said you would run around and get some exercise, | 你不是说过你要跑跑做些运动的吗？
Daddy Pig! But I didn'tbelieve you'd do it! | 猪爸爸！但是我没有想到你做到了！
Luckily, I managed to hang on to my slice of strawberry cake! | 幸好，我紧紧抓住了我的草莓蛋糕！
Stop, Daddy! | 不要动，爸爸！
We promised the rest of the cake for the ducks! | 我们答应了剩下的蛋糕要分给鸭子们的！
Oh. | 哦。
You are very lucky ducks. | 你们真是很幸运的鸭子。
Say ''thank you'' to Daddy Pig. | 向猪爸爸说声“谢谢!”
You're most welcome. | 你们不要客气！
It's time to go home.Say goodbye to the ducks. | 是时候回家了。跟鸭子们说声再见。
Bye bye, ducks. | 再见，鸭子们。
See you next time! | 下次再见了！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
