Mummy Pig's Birthday! | 猪妈妈的生日
Today is Mummy Pig's birthday. | 今天是猪妈妈的生日。
Daddy Pig has made Mummy Pig breakfast in bed. | 猪爸爸给猪妈妈做了一份早餐端来。
Happy birthday, Mummy Pig! | 生日快乐，猪妈妈！
Peppa and George have made Mummy Pig a birthday card. | 佩奇和乔治给猪妈妈做了一张生日卡。
Happy Birthday, Mummy! | 生日快乐，妈妈！
Ooh! What a lovely birthday surprise! | 哦！多么好的生日惊喜！
And there are more surprises to come! | 还有更多的惊喜接着来哦！
Enjoy your birthday breakfast! | 请享用你的生日早餐！
Take your time. | 慢慢吃哦。
Mmm! Yummy! | 嗯！美味！
Quick! We have to geteverything else ready! | 快！我们得准备好其他的事了！
Daddy Pig has made a birthday cake for Mummy Pig. | 猪爸爸给猪妈妈做了一个生日蛋糕。
We've just got to put the candles on! | 我们要放上蜡烛！
One.. Two | 一。。。二
Here I come! | 我来了！
Mummy Pig has finished her birthday breakfast. | 猪妈妈吃完了她的生日早餐了。
Mummy's coming! | 妈妈来了！
Oh, no. we're not ready yet. | 哦，不行。我们还没有准备好呢。
Err. Who is it? | 呃。是谁呀？
It's Mummy. Can I come in? | 是妈妈。我可以进来吗？
No! No! | 不行！不行！
Is there something secret going on? | 是不是有什么秘密啊？
Er, no, nothing's going on.But you can't come in. | 呃，没有，什么也没有。但是你不能进来。
I see. | 我明白了。
Mummy Pig, why don't yourelax in the sitting room? | 猪妈妈，为什么你不在客厅里休息一下？
That sounds nice. | 听起来不错哦。
Well, it is your birthday! | 好了，今天是你的生日！
Ok, Peppa, I think I knowwhere the sitting room is! | 行了，佩奇，我想我知道客厅在哪的！
Here's a nice magazine. | 这是好看的杂志。
Thank you, Peppa. | 谢谢你，佩奇。
And here's some pretty music. | 这是美妙的音乐。
Thank you, Peppa. | 谢谢你，佩奇。
We need the same number of candles as Mummy's age. | 我们需要插上与妈妈年龄一样多的蜡烛。
One... two... three... | 一。。。二。。。三。。。
Oh, dear. We haven't gotnearly enough candles. | 哦，糟糕。我们没有足够的蜡烛。
Daddy? How old is Mummy? | 爸爸？妈妈有多老了？
I'll whisper it in your ear. | 我在你耳边悄声告诉你。
Wow! Really old! | 哇！真的好老哦！
You know, I thinkthree candles will be fine. | 你知道吗，我想也许三支蜡烛就好了。
Mummy Pig's birthday cake is ready! | 猪妈妈的生日蛋糕准备好了！
Hurray! | 好耶！
We just have to put up the decorations in the sitting room. | 我们还要装饰一下客厅。
Hello, Mummy! | 你好，妈妈！
Ah, there you all are!I was getting a little bored. | 啊，你们都在啊！我感觉有点无聊了！
Mummy? Would you like to have a nice walk in the garden? | 妈妈？你想不想去花园里走走？
Do I have any choice? | 我还有别的选择吗？
Nope! | 没有！
Bye bye, Mummy! Have a lovely walk! | 再见，妈妈！好好散散步吧！
We'll call you when it's safeto come back in. | 等可以回来时我们会叫你的。
I'd forgotten what hard workbirthdays were! | 我都忘记了过个生日还是很麻烦的。
Daddy Pig, Peppa and Georgeare decorating the sitting room. | 猪爸爸，佩奇，乔治在装饰客厅。
This is fun! | 这很有趣！
Granny and Grandpa Pig have arrived for Mummy Pig's birthday. | 奶奶，爷爷也来庆祝猪妈妈的生日。
Happy Birthday, Mummy Pig! | 生日快乐，猪妈妈！
Aren't you coming inside? | 你为什么不进去呢？
Oh, I can't come in yet. | 哦，我还不能进去。
Daddy Pig, Peppa and George are doing secret things for my birthday. | 猪爸爸，佩奇和乔治正在秘密地准备我的生日。
How lovely! See you later! | 你真贴心！一会见！
Bye! | 再见！
Mummy! Would you like to come inside now? | 妈妈！你现在想进来吗？
I'd love to. | 我很想进来了。
Close your eyes! | 闭上眼睛！
Keep your eyes closed, Mummy! | 眼睛要一直闭着哦，妈妈！
One... two... three...Open your eyes! | 一。。。二。。。三。。。睁开眼睛吧！
Happy Birthday, Mummy Pig! | 生日快乐，猪妈妈！
What a lovely surprise! | 多么愉快的惊喜！
Blow the candles out and make a wish! | 快吹蜡烛许个愿吧！
Mummy, Mummy, open your present! | 妈妈，妈妈，打开你的礼物！
Can you guess what it is? | 你能猜到它是什么东西吗？
I've no idea! | 我猜不到！
Open it and see. | 打开看看。
It's a beautiful dress! | 原来是一条漂亮的裙子！
You're beautiful, Mummy! | 你好漂亮哦，妈妈！
Now you just need somewhere nice to wear it. | 现在你正好穿上它出去了。
What's this? | 为什么？
Two tickets to the theater! Tonight! | 二张电影票！今晚的！
Thank you! | 谢谢你！
Mummy Pig loves going to the theater. | 猪妈妈最喜欢去电影院。
And Granny Pig and I are going to baby-sit the little ones. | 猪奶奶和我会照顾小猪们的。
Hurray! | 好耶！
What a super birthday! | 多棒的生日！
I'm the luckiest Mummyin the whole world! | 我是世上最幸运的妈妈！
And the most beautiful! | 也是最漂亮的妈妈！
