The School Fete! | 学校游园会！
Today is the day of the school fete. | 今天是学校的游园会。
Peppa loves coming to the fete. | 佩奇喜欢去游园会。
Here are Peppa's friends,Candy Cat, Suzy Sheep, | 这是佩奇的朋友，小猫凯迪，小羊苏茜，
Danny Dog, Rebecca Rabbitand Pedro Pony. | 小狗丹尼，小兔瑞贝卡和小马佩德罗。
Hello, everyone! | 大家好啊！
Hello, Peppa! | 佩奇，你好啊！
I love the school fete! | 我喜欢学校游园会！
Me, too! What do you like best? | 我也是！你最喜欢玩什么呢？
The face painting! | 在脸上画画！
I like the balloons! | 我喜欢气球！
I like the bouncy castle the best! | 我最喜欢那个冲气城堡了！
I like everything! | 每一样我都喜欢！
A very good choice, Peppa! | 很好的选择，佩奇！
See you later, Peppa! | 一会见，佩奇！
See you later! | 一会见！
George, what do you like best? | 乔治，你最喜欢玩什么呢？
Dine-Saw! Grrr! | 恐-龙！咯！
Oh, dear, there aren't any dinosaursat the fete, George. | 哦，天啊，乔治，游园会里没有恐龙的。
Maybe we can get you a dinosaur balloon. | 也许我们可以找个恐龙气球。
Are you sure they have dinosaur balloons,Daddy Pig? | 你确定他们有恐龙气球，猪爸爸？
I'm certain of it. | 我确定哦。
Can George and I get our faces painted first? | 乔治和我能先去在脸上画画吗？
Of course. | 当然啦。
Miss Rabbit has painted Peppa's friends as tigers! | 兔小姐把佩奇的朋友都画成了老虎！
There you are, Suzy! | 画好了，苏茜！
Now you look like a tiger! | 现在你看起来像只老虎！
Thank you, Miss Rabbit! | 谢谢您，兔小姐！
Wow! I like your face, Suzy. | 哇！我喜欢你的脸，苏茜。
Are you a pussycat? | 你画的是小猫吗？
No! I'm a tiger! | 不！我是一只老虎！
Peppa, would you likeyour face painted? | 佩奇，你想在脸上画画吗？
Yes, please. Can I be an elephant? | 是的。我可以画大象吗？
Oh, dear, I don't knowhow to do elephants. | 哦，天啊，我不知道怎么画大象。
I can do tigers! | 但我会画老虎！
Yes, a tiger, please! | 是的，请画老虎吧！
There you are, Peppa,now you're a tiger! | 好了，佩奇，现在你是一只老虎了！
I'm a tiger! | 我是一只老虎！
George, what would you like to be? | 乔治，你想画什么呢？
Dine-saw! Grr! | 恐-龙！咯！
A dinosaur? Er, how about a tiger instead? | 恐龙？呃，改画一只老虎，怎样？
I'm good at tigers. | 我善于画老虎。
I'm a tiger! | 我是一只老虎！
So am I! Woof! Woof! | 我也是！汪！汪！
Meow! Tigers don't say,''woof! woof!'' | 喵！老虎不会叫“汪！汪！”
How do you know? | 你怎么知道的？
Because tigers are big cats. | 因为老虎是大猫。
And I'm a cat! | 而我是一只猫！
Candy, please, can you teachus how to be tigers? | 凯迪，你能教我们怎么扮做老虎吗？
Okay! Tigers creep very, very slowly, | 好的！老虎走得非常，非常地慢，
and then, they jump! Grrrr! | 然后，他们会跳起来！咯！
Tigers like to lick themselves clean. | 老虎喜欢把自己舔干净。
But, best of all, when tigers are happy... | 但是，有时候，老虎高兴了。。。
they purr. | 他们会发出咕噜声。
Hello, children. My goodness! | 你好，孩子们。我的天啊！
You're all tigers! | 你们都变成了老虎了！
And I'm teaching themto be proper tigers. Grrr! | 我还在教他们怎么做一只老虎。咯！
What do you little tigers want to do next? | 那接下来你们这些小老虎们想做什么呢？
Dine-Saw! | 恐-龙！
That's right! We have to find George a dinosaur balloon! | 说得对！我们得帮乔治找个恐龙气球！
Let's get you all balloons! | 你们每个都会得到气球的！
Hurray! | 好耶！
Hello, Madame Gazelle! | 你好，羚羊女士！
We'd like some balloons, please. | 请给我们些气球。
Certainly! I've got lots of different ones. | 当然可以！我有很多不同的气球。
Can I have an elephant balloon? Please! | 我能要一个大象气球吗？请给我！
Here you are, Peppa! | 给你，佩奇！
Can I have a kangaroo? | 我能要一个袋鼠气球吗？
A lion, please! | 请给一个狮子气球！
A monkey, please! | 请给一个猴子气球！
Yes, I've got all those! | 是的，这些我都有！
Most important of all, | 最重要的是，
We need a dinosaur balloon for George. | 我们要给乔治一个恐龙气球。
Oh, dear, | 哦，天啊，
I do not seem to have any dinosaur balloons. | 我好像没有恐龙气球。
Oh. | 哦。
Don't worry, George. I've got an idea. | 别担心，乔治。我有主意。
Could we have two of the long balloons, please? | 请给我们两个长气球。
Watch this, everybody! | 大家看好哦！
What is Daddy Pig doing with the balloons? | 猪爸爸打算怎样摆弄气球呢？
There! Can anyone guess what it is? | 好了！大家能猜猜这是什么？
Is it a kangaroo? | 是袋鼠吗？
No, it's a... | 不，它是一只。。。
Dine-Saw! | 恐-龙！
That's right, a dinosaur! | 说得没错，是一只恐龙！
Daddy Pig has made a balloon dinosaur. | 猪爸爸做了一只恐龙气球。
Grrrrrrrr! Dine-saw! | 咯~~！ 恐-龙！
Now, the bouncy castle! | 现在，到冲气城堡去！
Peppa loves bouncing on the bouncy castle. | 佩奇喜欢在冲气城堡上弹跳！
Everyone loves bouncing on the bouncy castle! | 大家都喜欢在冲气城堡上弹跳！
This is the best school fete, ever! | 这是最棒的学校游园会了！
