New Shoes! | 新鞋子！
Peppa and George have been playing in the garden. | 佩奇和乔治在花园里玩。
Peppa, where are your shoes? | 佩奇，你的鞋子呢？
Oh, I've lost them. | 哦，我丢失了。
Well, I'm sure we can find them. | 好啦，我确信我们能找到的。
Maybe we should try the garden? | 也许我们试试到花园里找找？
Yes! | 是的！
Everyone is looking for Peppa's shoes. | 大家都在找佩奇的鞋子。
Mummy Pig is looking in the flowerbed. | 猪妈妈在花坛里找。
Peppa's shoes are not there. | 佩奇的鞋子不在那里。
Oh! | 哦！
Daddy Pig is looking in the wheelbarrow. | 猪爸爸在手推车里找鞋子。
Peppa's shoes are not there. | 佩奇的鞋子不在那。
Oh! | 哦！
Peppa and George look in the flowerpots. | 佩奇和乔治在花盆里找。
Peppa's shoes are not there, either. | 佩奇的鞋子也不在那。
Oh! Oh! | 哦！哦！
We've looked everywhere, | 我们已经到处找，
but we can't find Peppa's shoes! | 但是我们找不到佩奇的鞋子！
Peppa's shoes are lost. | 佩奇的鞋子丢失了。
Now I haven't got any shoesto wear. | 现在我没有鞋子穿了。
Poor Peppa. Your shoes weregetting a bit old... | 可怜的佩奇。你的鞋子已有点旧。。。
We'll buy you a new pair! | 我们给你买双新鞋吧！
Can my new shoes be red, Mummy? | 妈妈，我的新鞋可以是红色的吗？
Of course, they can. | 当然可以啦。
George! I'm going to havenew red shoes! | 乔治！我有红色新鞋子穿了！
Mummy Pig and Peppa are at Miss Rabbit's shoe shop. | 猪妈妈和佩奇来到兔小姐的鞋店里。
Hello, Miss Rabbit. | 你好，兔小姐。
Hello, Mummy Pig. | 你好，猪妈妈。
We would like to buy some new shoes for Peppa, please. | 我们想买双新鞋给佩奇。
Red Shoes! | 红色的鞋子！
Oh I'm sure we can find yousome lovely new shoes, Peppa! | 哦，佩奇，我确信我们能给你找一双漂亮的新鞋子！
Red ones, please. | 红色的。
Of course, red ones. | 没问题，红色的。
Wow! New red shoes! | 哇！红色的新鞋子！
George and Daddy Pig are playing draughts. | 乔治和猪爸爸在下跳棋。
Oh, well done, George. | 哦，做得好，乔治。
Daddy! Daddy! | 爸爸！爸爸！
Look at my new shoes!They are red! | 看看我的新鞋子！是红色的！
I say! They are red. | 啊呀！是红色的。
Mummy, do you likemy new shoes? | 妈妈，你喜欢我的新鞋子吗？
Yes, Peppa, they make youlook very smart. | 是的，佩奇，他们让你看起来很漂亮。
George, do you like my new shoes? | 乔治，你喜欢我的新鞋子吗？
Everyone likes Peppa's new shoes. | 大家都喜欢佩奇的新鞋子。
I like my new shoes so much. | 我太喜欢我的新鞋子了。
I don't want to ever take them off. | 我永远都不想把它脱下来。
It is bath time. | 洗澡时间到了。
Peppa wants to keep her new shoes on, even for her bath. | 即使是洗澡，佩奇也不想脱下新鞋子。
Peppa is in her pajamas. | 佩奇穿着睡衣。
She still has her new shoes on. | 但她仍然穿着新鞋子。
Peppa even wants to wear her new shoes in bed! | 佩奇甚至还穿着新鞋子上床！
Peppa, are you sure | 佩奇，你确定
you don't want to take your shoes off? | 你不想脱下你的鞋子？
I don't want to ever takemy new shoes off, Mummy. | 妈妈，我永远也不想脱下我的新鞋子。
Very well. Goodnight, Peppa and George. | 那好吧。晚安，佩奇和乔治。
Goodnight, Mummy! Goodnight, Daddy! | 晚安，妈妈！晚安，爸爸！
Goodnight, my little piggies! | 晚安，我的小猪们！
It has been raining all night | 下了一整夜的雨
and now the garden is very wet. | 现在花园很潮湿。
Mummy Pig is wearing her boots. | 猪妈妈穿着她的靴子。
Daddy Pig is wearing his boots. | 猪爸爸穿着他的靴子。
George is wearing his boots. | 乔治也穿着他的靴子。
Peppa is still wearing her new red shoes. | 佩奇仍然穿着她的红色新鞋子。
George is going to play in the wet grass. | 乔治在潮湿的草丛里玩。
Oh, dear. Peppa lovesplaying in the wet grass, | 哦，糟糕了。佩奇也想在潮湿的草丛里玩。
but she doesn't want to gether new shoes wet. | 但是她不想把新鞋子弄湿。
I can't play in thewet grass, George. | 乔治，我不能在潮湿的草丛里玩。
Oh. | 哦。
George loves jumping in muddy puddles. | 乔治喜欢在泥坑里跳。
Peppa loves jumping in puddles, | 佩奇也喜欢在泥坑里跳。
but she doesn't wantto get her new shoes muddy. | 但她不想新鞋子粘上泥。
Oh. | 哦。
Mummy and Daddy love jumping up and down in muddy puddles! | 妈妈和爸爸喜欢在泥坑里跳来跳去！
Everyone likes jumping in muddy puddles! | 大家都喜欢在泥坑里跳来跳去！
Where is Peppa going? | 佩奇要去哪？
Peppa is putting on her boots! | 佩奇穿上她的靴子！
If you jump in muddy puddles, | 如果你在泥坑里跳，
you must wear your boots! | 你必须要穿上你的靴子！
