Pancakes! | 煎饼！
It is teatime. | 下午茶时间到了。
And Mummy Pig has a surprise for everyone. | 猪妈妈准备了一个惊喜给大家。
Today is a day for pancakes! | 今天吃煎饼！
Pancakes! Delicious! | 煎饼！好吃耶！
I love pancakes! | 我喜欢吃煎饼！
Everyone loves pancakes! | 大家都喜欢吃煎饼！
I'm the expert atflipping the pancakes over! | 我是一个抛煎饼的高手！
Leave that to me! | 交给我吧！
Are you sure,Daddy Pig? | 你确定，猪爸爸？
Last time you got a bit grumpy when you dropped the pancake on the floor. | 上次，当你将煎饼掉在地上时，你可有点焦躁哦。
I did not get grumpy. | 我并没有焦躁。
There was a problem with the frying pan. | 那是煎锅有问题。
Mummy. Can we help makethe pancakes, please? | 妈妈。我们可以帮忙做煎饼吗？
Yes. You can help memake the batter. | 可以。你们可以帮我做面糊。
First, I put some flour in the bowl. | 首先，我把面粉放进碗里。
Ooooo! | 哦~~！
Now, I add an egg. | 现在，我们加只鸡蛋。
Now, the milk. | 现在，来点牛奶。
And I give it all a stir. | 然后我搅拌它。
Mummy, can I stir? | 妈妈，可以让我来搅拌吗？
Yes, of course Peppa. | 当然可以，佩奇。
Peppa loves stirring. | 佩奇喜欢搅拌。
George wants to stir as well. | 乔治也想去搅拌。
No, George, like this! | 不对，乔治，像这样！
Ok, that's enough stirring. | 好了，搅拌够了。
You two sit at the table while I cook the pancakes. | 我做煎饼时，你俩坐在桌旁。
Mummy Pig is going to flip the pancake over! | 妈妈准备抛转煎饼！
Hurray! | 太棒！
You could flip it higher,Mummy Pig. | 你可以抛得更高点，猪妈妈。
You can show us how, when you flip your own pancake, Daddy Pig. | 猪爸爸，等你做你自己的那个煎饼时，你可以教教我们。
This first pancake is for George. | 第一个煎饼是给乔治的。
Mummy Pig pours a little syrup on George's pancake. | 猪妈妈倒了些糖浆在乔治的煎饼上。
Delicious! | 真好吃！
This pancake is for Peppa. | 这个煎饼是给佩奇的。
Hurray! | 好耶！
Hmmm... you could flip ithigher, Mummy Pig. | 嗯。。。你可以抛得更高点的，猪妈妈。
You will get a chance to show me when you flip you own pancake, Daddy Pig. | 猪爸爸，等你抛你自己的煎饼时，你有机会教我们的。
Syrup, please! | 请放糖浆。
Mmmmmm! Delicious! | 嗯！太好吃了！
This pancake is for Mummy Pig. | 这个煎饼是给猪妈妈的。
Hurray! | 好耶！
You still aren't flippingthem high enough,Mummy Pig. | 你仍然抛得不够高，猪妈妈。
The next pancake is yours, Daddy Pig. | 下一个煎饼是你的，猪爸爸。
So now you can show us how it should be done. | 现在你可以教教我们怎么做了。
Mmmmmm! Delicious! | 嗯！太好吃了！
Is everyone watching? | 大家都在看吗？
The secret of making a good pancake is to flip it high into the air. | 做出好吃的煎饼的秘密是把它抛到高空中。
One... two... three... hoopla! | 一。。。二。。。三。。。转圈！
Silly Daddy! | 糊涂的爸爸！
Oh...maybe that was just a bit too high. | 哦。。。也许有点太高了。
What a shame, that was the last pancake. | 真可惜，这可是最后一个煎饼。
It should be a simple matter to get it down. | 应该很容易把它拿下来。
Oh, dear. Daddy Pig cannot reach his pancake. | 哦，糟糕。猪爸爸够不着他的煎饼。
Don't worry, Daddy Pig, | 别担心，猪爸爸，
I think I know a way to get it down. | 我想我知道一个办法让它落下来。
Let's go upstairs, children. | 我们上楼去，孩子们。
This way! | 这边！
What is Mummy Pig planning to do? | 猪妈妈打算做什么呢？
On the count of three, | 数到三，
We all have to start jumping up and down. | 我们就开始跳。
One... two... three... jump! | 一。。。二。。。三。。。跳！
What are they doing? | 他们在干什么呢？
It worked! | 成功了！
Now Daddy Pig has his pancake. | 现在猪爸爸拿到煎饼了。
Daddy has a pancake on his head! | 爸爸的煎饼掉到他头上！
Syrup on your pancake, Daddy Pig? | 你的煎饼要放糖浆吗，猪爸爸？
Yes, please. | 是的。
One... two... three... hoopla! | 一。。。二。。。三。。。转圈！
Mmmmmm! Delicious! | 嗯！太好吃了！
Silly Daddy. | 糊涂的爸爸。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
