Thunderstorm | 暴风雨
It is a lovely, sunny day. | 今天是个阳光灿烂的日子。
Peppa and George are having a picnic. | 佩奇和乔治在外面野餐。
Here's some orangejuice for you, Teddy. | 倒些橙汁给你，泰迪。
What do you say? | 你说什么呀？
Thank you very much, Peppa! | 十分谢谢你，佩奇！
You are very welcome, Teddy. | 不用客气，泰迪。
Here's some orange juice for you, | 倒些橙汁给你，
Mr. Dinosaur. | 恐龙先生。
And what do you say? | 你说什么呀？
Grrrrrrrrrrr! | 咯~~~！
You are very welcome, Mr. Dinosaur. | 不用客气，恐龙先生。
Would Teddy or Mr. Dinosaurlike a cookie? | 泰迪和恐龙先生喜欢吃点饼干吗？ We're not very hungry. 我们不是很饿。
So Peppa and George can eat all the cookies. | 所以佩奇和乔治可以吃掉所有的饼干。
Thank you, Teddy. | 谢谢你，泰迪。
What was that strange noise? | 那是什么奇怪的声音？
Peppa, George! Quick,come inside the house! | 佩奇，乔治！快，回到屋里！
Mummy! There wasa loud ''bang'' sound! | 妈妈！有个很响的声音！
It's thunder, Peppa. | 它是打雷声，佩奇。
It means there will be a thunderstorm with lots of rain. | 它意味着狂风暴雨马上就来了。
Quick! Into the housebefore the rain starts! | 快！在下雨前回到屋里！
No need to panic, | 不要惊慌，
the rain is still a long way off. | 这雨要很久才会下的。
The sky is getting darker and darker. | 天变得越来越黑了。
There is going to be a thunderstorm. | 一场暴风雨即将到来了。
Peppa, George, | 佩奇，乔治，
did you bring all your toys in from the garden? | 你们所有的玩具都从花园拿回来了吗？
Dine-Saw. | 恐龙。
Good, Mr. Dinosaur is safe. | 好的，恐龙先生安全了。
Teddy! I left Teddy in the garden! | 泰迪！我把泰迪落在花园了！
He'll get wet! | 她会淋湿的！
Don't worry, Peppa. | 别担心，佩奇。
Daddy Pig will rescue Teddy! | 爸爸会救泰迪的！
You'd better hurry,Daddy Pig. | 你最好快点了，猪爸爸。
It's just about to rain! | 快要下雨了！
You'd better hurry,Daddy Pig. | 你最好快点了，猪爸爸。
It's just about to rain! | 快要下雨了！
I know all about thunderstorms. | 我非常了解暴风雨的。
It won't rain for ages. | 还要很久才会下雨。
As I thought, | 正如我所料，
plenty of time before it rains. | 离下雨还有很多时间。
Poor Teddy! He's soaking wet! | 可怜的泰迪！他湿透了！
Yes, poor Teddy! Let's get him dry! | 是的，可怜的泰迪！让我们把他擦干吧！
Poor Teddy! | 可怜的泰迪！
There you are, Teddy! All dry! | 看看，泰迪！全干了！
What about poor Daddy? | 那可怜的爸爸怎么办？
I'm soaking wet, too! | 我也湿透了！
Oh! Sorry, Daddy Pig! | 哦！对不起，猪爸爸！
Let's get you dry! | 让我们把你擦干吧！
There you are, Daddy Pig! | 看看，猪爸爸！
Nice and dry! | 又干爽又整洁！
Oh!? | 哦！？
The rain is coming in the house! | 雨水进到屋里来了！
The floor is getting wet! | 地板变湿了！
Oh, dear! What can we do,Daddy Pig? | 哦，糟糕！我们该怎么办，猪爸爸？
Don't worry. | 不用担心。
Daddy Pig is using a bucket to catch the drips. | 猪爸爸用一个水桶来接雨水。
Well-done, Daddy Pig! | 做得好，猪爸爸！
Easy as pie! Er? What? | 小菜一碟！呃？什么？
Quick! Find something else to catch the water! | 快！找个别的东西来接雨水！
Well-done, Peppa! | 做得好，佩奇！
Easy as pie! | 小菜一碟！
Mummy! The thunderbangs are very loud! | 妈妈！雷声非常响！
It's okay, children; don't be frightened. | 没事的，孩子们；不要害怕。
Let's count between each flash and bang. | 让我们来算一下雷声与闪电之间的时间间隔。
The higher we can count,the further away the thunderstorm is. | 间隔越久说明暴风雨离我们越远。
One... two... three... | 一。。。二。。。三。。。
That's three. | 已经三了。
One... two... three...four... five... | 一。。。二。。。三。。。四。。。五。。。
That's five! | 已经五了！
The thunderstorm is going away! | 暴风雨快结束了！
The thunderstorm is over! | 暴风雨结束了！
Hurray! | 好耶！
The thunderstorm has filled the garden with muddy puddles! | 暴风雨过后花园里布满了泥坑！
Peppa loves jumping up and down in muddy puddles. | 佩奇喜欢在泥坑里跳来跳去。
Everyone loves jumping up and down in muddy puddles. | 大家都喜欢在泥坑里跳来跳去。
I love thunderstorms, | 我喜欢暴风雨，
they make muddy puddles! | 它搞了泥坑！
Splish, splash, splosh, splish! | 泥水声到处溅起！
