Piggy in the Middle! | 中间的小猪！
George is playing with his ball in the garden. | 乔治在花园里玩扔球。
Peppa wants to play, too. | 佩奇也想玩。
George, you're doing itall wrong! | 乔治，你这样做是错的！
This is how to catch a ball. | 这样才能接到球。
Not like this. | 而不是这样。
That's what you do. | 你要这样做。
What a cheeky little one,pig Peppa is. | 佩奇真是一头顽皮的小猪。
George! Come back! | 乔治！回来！
You little piggy! | 你这头小猪！
Maybe Peppa is teasing George just a bit too much. | 也许佩奇逗乔治逗得有点过份了！
Peppa, have youbeen teasing George? | 佩奇，你是不是在逗乔治玩啊？
Not really, Mummy, I wasteaching him how to catch. | 不是的，妈妈，我在教乔治接球。
Really? Oh, well, I know a game that will teach George how to catch. | 真的吗？哦，好的，我知道一个游戏能教会乔治如何接球。
It's called ''Piggy-in-the-Middle''. | 它叫“中间的小猪”。
Peppa, you take the ball and stand over there | 佩奇，你拿着球站在这。
and George, you stand over there. | 乔治，你站那边。
Good! You have to throw the ball to each other | 好了！你把球扔给对方
and I have to try and catch it. | 而我就试图接住球。
I'm the piggy in the middle. | 我是中间的小猪。
Mummy is the piggy in the middle. | 妈妈是中间的一头小猪。
Catch, George! | 接住啦，乔治！
Oh! Missed it! | 哦！错过了！
George has caught the ball. | 乔治接住了球。
Hurray! | 好耶！
Well done, George. | 干得好，乔治。
Now you throw the ball to Peppa. | 现在你把球扔给佩奇。
Oop! Try again. | 喔！再试一次。
Oh! Try again. | 哦！再试一次吧.
George can't throw the ballpast Mummy Pig. | 乔治不能把球扔给佩奇（越过妈妈）。
Come on, George. | 来吧，乔治。
Give the ball to me. | 把球给我。
Oop! | 喔！
Silly George. I can do that, too. | 傻呼呼的乔治。我也能那样做。
Oh! | 哦！
Peppa wants to copy George | 佩奇想学乔治
but she's too big and has got stuck. | 但是太大而被卡住了。
I've got the ball. Peppa, | 我拿到球啦。佩奇，
now it's your turn to be piggy. | 现在轮到你来做中间的小猪。
George! Catch! | 乔治！接住！
Hurray! | 好耶！
Caught it! George, you're the piggy! | 接住！乔治，你来做中间的小猪！
George! Catch. | 乔治！接住哦。
Catch the ball, George. | 接住球，乔治。
Catch, George. | 接住，乔治。
George, catch. | 乔治，接住。
Here's the ball,George. | 球来了，乔治。
Weeeeeeeeeee | 呜~~~~~~~
Waaaaaaaaaaaaaa! | 哇~~~~~~~！
Oh, dear! Peppa, you shouldn't tease George like that. | 哦，天啊！佩奇，你不应该这样戏弄乔治。
Sorry, George! | 对不起，乔治！
What's all the noise? | 这是什么声音？
Daddy, George is too littleto play ''Piggy in the middle''. | 爸爸，乔治太小了不能做“中间的小猪”。
Oh, I'm sure he's big enough. | 哦，我相信他足够大了。
No, he isn't, Daddy, watch. | 不，他不够，爸爸，看。
Catch it, George. | 接住，乔治。
Hurray! | 好耶！
That's not fair! | 这不公平！
Yes, it is. I just gave Georgea helping hand. | 是公平的。我只是帮了乔治一下。
Mummy, can I have a helping hand? | 妈妈，你可以帮我一下吗？
Of course you can, Peppa. | 当然可以，佩奇。
To me! George! | 给我！乔治！
Catch, George. | 接住，乔治。
Peppa loves catching the ball. | 佩奇喜欢玩接球。
George loves catching the ball. | 乔治也喜欢玩接球。
Everyone loves catching the ball. | 大家都喜欢玩接球。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
