Very Hot Day! | 酷暑难当！
The sun is shining.It is a very hot day. | 太阳当空照着。天气非常炎热。
What a lovely, hot day! | 真是个不错的大热天啊！
Peppa and George are wearing their boots! | 佩奇和乔治穿着他们的靴子！
They are going to jump in muddy puddles! | 他们准备去跳泥坑！
I love muddy puddles. | 我喜欢泥坑。
Oh! | 哦！
Oh, dear! The sun is so hot | 哦，糟糕！天气太热了
that the puddles have dried up! | 泥坑都晒干了！
Mummy! Daddy! | 妈妈！爸爸！
The puddles are all dry and we can't jump in them! | 泥坑都晒干了，我们不能跳了！
Never mind, Peppa. | 没关系，佩奇。
It's so sunny, | 天气晴朗，
you can play in the paddling pool instead! | 你们可以在充气泳池里玩！
Yes! The paddling pool! | 是啊！充气泳池！
First, you have to change intoyour swimming costumes. | 首先，你得换上你的泳装。
Yes, Mummy. | 好的，妈妈。
Peppa and George are wearing their swimming costumes! | 佩奇和乔治穿上了泳装！
Mummy Pig is wearing her swimming costume. | 妈妈也穿上了泳装！
And Daddy Pig is wearing his swimming costume! | 爸爸也穿上了泳装！
Because it's so hot,you need sun cream. | 天气太热了，你要抹些防晒霜。
It's all oily and yucky! | 油油的，好讨厌！
Yuck! | 讨厌！
What a fuss about nothing! | 不要抱怨了！
Yes, we all need sun cream today. | 是啊，我们今天全都要抹防晒霜。
Oh! | 哦！
Come on, George. | 来吧，乔治。
Let's get some air intothis paddling pool! | 我们给充气泳池充气！
Daddy Pig is pumping up the paddling pool! | 爸爸在给充气泳池充气！
Easy as pie! | 小菜一碟！
Peppa holds the hose and Mummy Pig turns on the water. | 佩奇捉住了水管妈妈打开了水笼头。
Where's the water? | 水在哪？
Wahhh! | 哇~！
Peppa and George love their paddling pool. | 佩奇和乔治喜欢他们的充气泳池。
Ice cream! Ice cream! | 冰淇淋！冰淇淋！
Ms. Rabbit, the ice cream lady! | 是卖冰淇淋的兔女士！
Ice cream! | 冰淇淋！
On very hot days,Ms. Rabbit sells ice cream. | 在天很热时，兔女士会卖冰淇淋。
Mummy, Daddy! | 妈妈，爸爸！
Can George and I have an ice cream, please? | 乔治和我可以吃冰淇淋吗？
Oh, well, I suppose it isan especially hot day. | 哦，好吧，今天实在太热了。
Hurray! | 好耶！
Please, can I have one as well? | 请也给我买一个吧？
Everyone likes ice cream! | 大家都喜欢冰淇淋！
Hello, Mummy Pig, Peppa and George. | 你好，猪妈妈，佩奇和乔治。
Hello, Ms. Rabbit. | 你好，兔女士。
What ice creams would you like? | 你想要什么冰淇淋？
Can I have a cone, please,Ms. Rabbit? | 可以给我一个冰淇淋球吗，兔女士？
Of course you may, Peppa! | 当然可以，佩奇！
Thank you. | 谢谢你。
The same for me and one for Daddy Pig, please. | 我也一样，冰淇淋球，猪爸爸也一个。
And what would young Mr. George like? | 那小乔治想要什么呀？
Dine-Saw! | 恐龙！
A dinosaur? | 想要恐龙？
Silly George! | 傻呼呼的乔治！
He always says ''dinosaur''for everything! | 对所有的东西，他总说“恐龙”！
Well, it just so happens thatI do have a dinosaur shaped ice-lolly! | 好吧，正好我有卖恐龙形状的冰棍！
Dine-Saw! Grrrr! | 恐龙！咯！
George, | 乔治，
you should eat your ice-lolly before it melts. | 在冰棍融化前快吃掉它。
Dine-Saw. | 恐龙。
George loves his dinosaur ice-lolly so much, | 乔治太喜欢他的恐龙冰棍了，
he doesn't want to eat it. | 他不舍得吃了。
Thank you, Ms. Rabbit! | 谢谢你，兔女士！
Enjoy the weather! | 祝你们玩得愉快！
George, I really think youshould eat your ice-lolly | 乔治，我认为你要快点吃你的冰棍
before it melts and...falls on the ground. | 不然它会融化。。。掉到地上。
Oh, dear, George's dinosaurice-lolly has melted。 | 哦，糟糕了，乔治的恐龙冰棍融化了。
and fallen on the ground. | 并且掉到地上了。
Never mind, George. | 没关系，乔治。
You can share Daddy's ice cream. | 你可以吃爸爸的冰淇淋。
I'm sure he won't mind. | 我相信他不会介意的。
It is so warm, | 天气太暖了，
Daddy Pig has fallen asleep! | 猪爸爸睡着了！
Daddy Pig does look hot! | 猪爸爸看上去很热！
Let's tip water on Daddyto cool him down! | 让我们把水倒在爸爸身上让他凉快凉快！
Good idea, Peppa! | 好主意，佩奇！
What happened?!!! | 发生什么事了？！！！
You were all red and hot, Daddy Pig! | 你刚才又红又热的，猪爸爸！
So we tipped water on you! | 我们给你倒了些水！
Oh, I see. Thank you, Peppa. | 哦，我明白了。谢谢你，佩奇。
Look! The puddles are back! | 看！泥坑又出现了！
Quick, George, let's get out boots! | 快，乔治，我们快去找靴子！
Peppa and George are wearing their boots! | 佩奇和乔治穿上了靴子！
Peppa and George love the hot day. | 佩奇和乔治喜欢大热天。
But most of all, | 但是最主要的是，
they love jumping up and down in puddles! | 他们喜欢在泥坑里跳来跳去！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
