Mister Skinnylegs! | 瘦腿先生！
Peppa is playing with her doll's house.George is playing, too. | 佩奇在玩她的玩偶小屋。乔治也在玩。
Peppa is making a tea party for the doll family. | 佩奇在给玩偶之家开茶会。
Here, George! I'm the Mummy and Daddy. | 来吧，乔治！我来扮演妈妈和爸爸。
You can be the children. | 你来扮演孩子们。
Children! It's nearly tea time, | 孩子们！下午茶时间快到，
so you must wash your hands. | 你们必需洗手。
George's putting the dolls to bed. | 乔治把玩偶放在床上。
Night night! | 晚安！
George, why are you puttingthe children to bed? | 乔治，你为什么把孩子们放在床上？
They're having a tea party. | 他们要参加茶会。
George likes putting the dolls to bed. | 乔治喜欢把玩偶放在床上。
Children, come down stairs right now | 孩子们，快下来，
or you won't get any cake! | 不然你们吃不到蛋糕了！
George isn't listening. | 乔治没在听。
He's too busy puttingthe dolls to bed. | 他在忙着把玩偶放到床上。
George! If you want to playwith my doll's house, | 乔治！如果你想玩我的玩偶小屋，
you have to help with the tea party. | 你得帮忙筹办茶会。
Here, George, you can fillthe teapot with water. | 来吧，乔治，你去把茶壶装满。
Children, come downstairs right now. | 孩子们，现在马上下楼吧。
Mummy! We're coming! | 妈妈！我们来了！
George is going to fill the teapot with water. | 乔治准备把茶壶装满水。
George has found a spider in the sink. | 乔治在水槽里发现了一只蛛蛛。
George wants the spider to be his friend. | 乔治想蛛蛛成为他的朋友。
Oh! | 哦！
George likes the spider. | 乔治喜欢蛛蛛。
The spider likes George. | 蛛蛛也喜欢乔治。
Peppa loves playing tea parties. | 佩奇喜欢举办茶会。
Where are all the chocolate biscuits, Daddy? | 所有的巧克力饼干在哪啊，爸爸？
We had lots yesterday! | 我们昨天还有很多的！
Oh, err, I'm sorry, Mummy, | 哦，呃，对不起，妈妈，
I must have eaten them all. | 我已经吃完了。
Naughty Daddy. | 淘气的爸爸。
George is putting the spider to bed. | 乔治把蛛蛛放在床上。
Night night. | 晚安。
George, what is it you're doing? | 乔治，你在干什么呢？
You have to help me with the tea party. | 你得帮我筹备茶会。
Help, help! | 救命，救命！
Daddy! There's a spiderin my bedroom!! | 爸爸！有只蛛蛛在我的卧室！！
Don't worry, Peppa. | 不用担心，佩奇。
Please, Daddy, take it away. | 爸爸，请把它弄走。
No need to panic. | 不用惊慌。
Hello, George, have youseen the spider? | 你好，乔治，你有没有看到蛛蛛？
It's too scary. Take it away. | 太吓人了。把它弄走。
There's no need to be afraid, Peppa. | 没有必要这么害怕，佩奇。
Spiders are very, very smalland they can't hurt you... | 蛛蛛是非常非常小的，他们不会伤害你。。。
..But don't worry, | 。。。不用担心，
Daddy will take it out of the bedroom. | 爸爸会把它拿出卧室。
Woah! He's quite big, isn't he? | 哦啊！他长得挺大的，是不是？
Umm...I'll just fetch Mummy Pig. | 嗯。。。我要叫上猪妈妈。
Mummy Pig! | 猪妈妈！
Hello, Mr. Skinnylegs. | 你好，瘦腿先生。
Peppa feels a little bit braver. | 佩奇变得大胆一些了。
He likes being in my doll's house. | 他喜欢在我的玩偶小屋。
Hello, children, | 你们好，孩子们，
I hear you've founda little spider. | 我听说你们发现了一只小蛛蛛。
I'll take him out of thebedroom so you two can play. | 我会把它拿出卧室，那么你俩就可以继续玩了。
Mummy, his name is Mr. Skinnylegs. | 妈妈，他的名字叫瘦腿先生。
Oh! Mr. Skinnylegs is big,isn't he? | 哦！瘦腿先生很大，对不？
Peppa and George like the spider. | 佩奇和和乔治喜欢这蛛蛛。
Night night. | 晚安。
George is putting the spider to bed. | 乔治把蛛蛛放到床上。
No, George! | 不，乔治！
He wants some tea. | 他想要些茶。
He doesn't want to be in bed. | 他不想睡在床上。
Are you hungry, Mr. Skinnylegs? | 你饿吗，瘦腿先生？
Would you like some cake? | 你想要些蛋糕吗？
Peppa isn't afraid ofthe spider anymore. | 佩奇不再害怕蛛蛛了。
Mummy, Daddy. Sit down. | 妈妈，爸爸。请坐下。
We're all going to have teawith Mr. Skinnylegs. | 我们准备和瘦腿先生一起用茶。
Who wants tea? | 谁想要茶？
Me, please! Me, please! | 请给我！请给我！
Delicious! | 美味！
Peppa loves playing tea parties. | 佩奇喜欢举办茶会。
Here's your tea, Mr. Skinnylegs. | 这是你的茶，瘦腿先生。
What's that? | 说什么？
You want to say ''hello'' to my daddy? | 你想对我爸爸说“你好”？
Hello, Mr. Daddy Pig! | 你好，猪爸爸！
Heh, err, that's all right, Peppa. | 嘿，呃，没关系，佩奇。
Let Mr. Skinnylegs drink his tea.. | 让瘦腿先生喝茶。。。
You're not scared, are you, Daddy? | 你不会害怕，对不，爸爸？
Oh, no, of course not... | 哦，不，当然不害怕。。。
Not so close. | 不要靠得太近。
Oooh! Ooofff! | 哦~！喔~！
Peppa likes Mr. Skinnylegs, | 佩奇喜欢瘦腿先生，
Everyone likes Mr. Skinnylegs. | 大家都喜欢瘦腿先生。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
