Lunch! | 午餐！
Peppa and George have come to Granny and Grandpa Pig's house for lunch. | 佩奇和乔治来到猪奶奶和猪爷爷家吃午餐。
Granny Pig! | 奶奶好！
Ganggy lg! | 奶奶好！
Hello, my little ones! | 你们好，我的小可爱们！
Would you like to pick some vegetables from the garden for lunch? | 你们想从花园里摘些蔬菜做午餐吗？
Yes, please! | 是的。
Grandpa Pig! | 爷爷好！
Baba lg! | 爷爷好！
Hello, Peppa, George. | 你们好，佩奇，乔治。
This is Grandpa Pig's vegetable garden. | 这是猪爷爷的蔬菜园。
He has grown all these vegetables himself! | 这些蔬菜全是他自己种的！
What's this? | 这是什么？
Dinesaw! | 恐龙！
A dinosaur! | 一只恐龙！
Let's choose some vegetables for lunch. | 我们选些蔬菜做午餐吧。
Peppa, do you like tomatoes? | 佩奇，你喜欢吃蕃茄吗？
Yes, Grandpa Pig! | 是的，爷爷！
George, do you like tomatoes? | 乔治，你喜欢吃蕃茄吗？
No. | 不喜欢。
George does not like tomatoes. | 乔治不喜欢吃蕃茄。
Oh, dear. Do you both like lettuce? | 哦，天啊。你们俩喜欢吃生菜吗？
Yes, Grandpa Pig! | 是的，爷爷！
No. | 不喜欢。
George does not like lettuce. | 乔治不喜欢吃生菜。
Oh, dear! I must have something that George likes. | 哦，天啊！我一定有乔治喜欢吃的。
Do you like cucumber? | 你喜欢吃黄瓜吗？
Yuck! | 难吃！
George does not like cucumbers, | 乔治不喜欢吃黄瓜，
and he does not like lettuce, | 他不喜欢吃生菜，
and he does not like tomatoes. | 他也不喜欢吃蕃茄。
Well, George, what vegetabledo you like? | 好吧，乔治，你喜欢吃什么蔬菜？
Chocolate cake! | 巧克力蛋糕！
Silly George! Chocolate cakeisn't a vegetable! | 傻呼呼的乔治！巧克力蛋糕可不是蔬菜！
Maybe George will like the vegetables | 也许乔治会喜欢吃蔬菜
when they're made intoa lovely salad. | 只要把它们做成可口的沙拉。
Ooh! Lovely fresh tomatoes,lettuce and cucumber! | 哦！好多新鲜可口的蕃茄，生菜和黄瓜！
First, we have to wash them! | 首先，我们必需要洗一下它们！
Peppa and George help Granny Pig wash the vegetables. | 佩奇和乔治帮奶奶清洗蔬菜。
Maybe that's enough washing. | 清洗得足够干净了。
Granny Pig has made the tomatoes, lettuce and cucumber into a salad. | 猪奶奶把蕃茄，生菜和黄瓜制成沙拉。
Grandpa Pig, can you calleveryone to lunch? | 猪爷爷，你可以叫大家来吃午饭吗？
Lunch!!! | 吃午饭啦！！！
Granny Pig has made pizza for lunch. | 猪奶奶做了披萨。
And here's some salad made with Grandpa's tomatoes, lettuce and cucumber! | 这些沙拉全都是用爷爷的蕃茄，生菜和黄瓜做的！
Chuck in, everyone! | 大家快吃吧！
George has eaten his pizza. | 乔治吃完披萨。
But George does not like the tomatoes | 但乔治不喜欢吃蕃茄，
or the lettuce or the cucumber. | 生菜和黄瓜。
Oh, dear, George. | 哦，天啊，乔治。
Don't you like the salad? | 你不喜欢吃沙拉吗？
No. | 不喜欢。
George, just try a little bitof this lovely tomato. | 乔治，尝一点这可口的蕃茄吧。
Yuck! | 难吃！
George. This is cucumber. | 乔治。尝一下黄瓜吧。
Grandpa Pig grew it in his garden! | 猪爷爷自己在花园种的！
Errrgh!! | 呃~~！
Try a piece of lettuce,George. It's yummy! | 尝一片生菜吧，乔治。很好吃的！
Now, now, George. | 乔治，现在，
Look what I'm doing. | 看看我在做什么。
Now, it's a dinosaur! | 现在它是一条恐龙了！
Dinesaw! | 恐龙！
George loves dinosaurs! | 乔治喜欢恐龙！
George is eating the tomatoes, lettuce and cucumber! | 乔治开始吃蕃茄，生菜和黄瓜了。
Well done, George! | 做得好，乔治！
Would you like some more, George? | 你要再吃点吗，乔治？
Full. | 饱了。
George, are you too full to eatany more tomatoes,lettuce or cucumber? | 乔治，你是不是吃得太饱了，一点蕃茄，生菜和黄瓜都不能吃了？
George is too full to eat any more. | 乔治吃得太饱了不能再吃别的东西了。
George, are you too fullto eat anything more? | 乔治，你是不是吃得太饱，别的都吃不下了？
George is too full to eat anything more. | 乔治吃得太饱，别的都吃不下了。
Oh, well, then you won't want any of this CHOCOLATE CAKE! | 哦，好的，那么你也应该吃不下巧克力蛋糕了！
Chocolate cake! | 巧克力蛋糕！
My word! | 我的天啊！
George seems to have got his appetite back! | 乔治的胃口又回来了！
