The Sleepy Princess! | 沉睡公主！
It is night time. | 现在是晚上了。
Peppa and George are going to bed. | 佩奇和乔治准备上床睡觉了。
Goodnight, Peppa and George! | 晚安，佩奇和乔治！
Mummy, Daddy? | 妈妈，爸爸？
Yes, Peppa? | 什么事，佩奇？
I am not sleepy. | 我还不困。
Can I have a story? | 能给我讲个故事吗？
But maybe George is sleepy and doesn't want a story. | 但也许乔治困了不想听故事。 
George, do you want a story? Say ''yes''!!乔治，你是不是想听故事？说“是”呀！！
Alright! I willtell you just one story! | 那好吧！我讲一个故事！
If Daddy Pig tells you a story, | 如果爸爸讲完故事，
you must both promise to go to sleep. | 你们必须答应去睡觉。
We promise! | 我们答应！
Hmmm. I think I'll tell you thestory of ''The Sleepy Princess''. | 嗯。我讲一个叫“沉睡公主”的故事吧。
Is it a good story? | 它是一个精彩的故事吗？
It sounds a bit boring. | 听起来有点无聊。
It's not boring! It's very good! | 不会无聊的！它是一个很棒的故事！
Is there a little princess in it? | 里面有小公主吗？
Peppa! If you keep talking, | 佩奇！如果你一直说，
Daddy Pig can't start the story! | 爸爸就无法开始讲故事了！
Sorry, Mummy! | 对不起，妈妈！
Is there a little princess in the story, Daddy? | 故事里有小公主吗，爸爸？
Yes, there is alittle princess in it. | 是的，里面有个小公主。
Hmmm... ''The Sleepy Princess.'' | 嗯。。。“沉睡公主”。
Once upon a time... in a castle, | 很久以前。。。在一个城堡里，
there lived a little princess. | 住了一位小公主。
And she was called the Sleepy Princess. | 她叫做沉睡公主。
Daddy, why was she called that? | 爸爸，她为什么叫沉睡公主？
I'll get to that later. | 我会稍后讲到。
Was the Sleepy Princess pretty? | 沉睡公主漂亮吗？
Yes, she was very pretty! | 是的，她很漂亮！
She loved looking at herseIf in the mirror. | 她喜欢看镜子里的自己。
I am so pretty! | 我真是太漂亮了！
Who else was living in the castle? | 还有谁住在城堡里？
Er. Well... | 呃。好吧。。。
The others in the castle were... | 另外住在城堡里的人是。。。
the small Prince, | 一位小王子，
Queen Mummy and King Daddy! | 王后妈妈和国王爸爸！
That's right! They were allliving there as well. | 说得对！他们全都住在城堡里。
Did King Daddy have a big tummy? | 国王爸爸的肚子很大吗？
Of course not! He was veryhandsome, like me. | 当然不大！他很帅气，像我。
Anyway, there was also a dragon! | 而且，还有一只龙！
Dine-Saw? | 恐龙？
A dinosaur? Oh, yes, | 一只恐龙？哦，是的，
It wasn't a dragon. It was a dinosaur! | 它不是龙。它是一只恐龙！
Living outside was a huge, fierce dinosaur! | 住在城堡外的是一只巨大，凶恶的恐龙！
Whaaaaaaaaaaaaa! | 哇~~~~~！
Oh, dear! Maybe the dinosaur wasn't quite that fierce, Daddy Pig? | 哦，天啊！也许这只恐龙并没有那么凶恶，猪爸爸？
Sorry, George. No, the dinosaur was very gentle. | 对不起，乔治。不，那恐龙很温和。
It ate lots of grass. | 它吃很多的草。
Daddy Pig! | 猪爸爸！
Oh, sorry. I was being the dinosaur. | 哦，抱歉。我假装自己是只恐龙。
Daddy, why is the princesscalled ''The Sleepy Princess''? | 爸爸，为什么要公主被叫“沉睡公主”呢？
I'm coming to that. | 我快讲到了。
You see, the sun set. | 你看，太阳下山了。
Then the stars and moon came out. | 星星和月亮出来了。
And everyone got very sleepy. | 大家都很困了。
But the most sleepy of all was the Sleepy Princess! | 但感到最困的是沉睡公主！
Peppa? Are you sleepy? | 佩奇？你觉得困吗？
No, Daddy! I am not sleepy at all. | 没有，爸爸！我根本不困。
But somebody is. | 但有人困了。
George! Wake up! | 乔治！醒来！
You'll miss the end of the story! | 你会错过故事的结局的！
Well, Peppa might not be sleepy, | 好吧，佩奇可能不困，
but the Sleepy Princess certainly was. | 但是沉睡公主肯定困了。
Looking at herseIf all day in the mirror had completely worn her out. | 她整天看着镜子里的自己，累坏了。
Let's carry you to bed. Goodnight! | 让我抱你去睡觉吧。晚安！
The Sleepy Princess was so sleepy, | 沉睡公主太困了，
she had fallen fast asleep. | 她很快就睡着了。
Thank you for that story,King Daddy! | 谢谢你的故事，国王爸爸！
You're welcome, Queen Mummy. | 不用客气，王后妈妈。
And our little prince and princess enjoyed it, too! | 我们的小王子和小公主很喜欢这个故事！
