Shopping! | 购物！
Peppa and George are going shopping! | 佩奇和乔治一起去购物！
Peppa and George like shopping. | 佩奇和乔治喜欢购物。
George loves sitting in the trolley. | 乔治喜欢坐在推车里。
So does Peppa. | 佩奇也是。
Daddy, can I sit in the trolley, too? | 爸爸，我是否也可以坐在推车里？
You're too big for the trolley, Peppa. | 对于推车来说，你太大了，佩奇。
Oh! | 哦！
But you can help with the shopping. | 但你可以帮忙购物。
Oh, goody! | 哦，好的！
We've got four things on the list. | 我们已经列了四样东西在购物清单上。
Tomatoes, spaghetti, onions and fruit. | 有蕃茄，意大利面，洋葱和水果。
I'll find it all! | 我都能找到！
This way! | 走这边！
Peppa and George love shopping. | 佩奇和乔治都喜欢购物。
Peppa, first, we need tomatoes. | 佩奇，首先，我们需要些蕃茄。
Hmmmm! I can see them!I can see them! | 嗯！我看到了！我看到了！
Here are the tomatoes, Mummy. | 这里有蕃茄，妈妈。
Well done, Peppa! | 做得好，佩奇！
One, two, three, four. | 一，二，三，四。
Now, put them in the trolley. | 现在，把他们放进推车里。
I found the tomatoes! | 我找到蕃茄了！
Well done, Peppa. Tomatoes, | 做得好，佩奇。蕃茄，
that's one thing off the list. | 那么现在可以把它从清单里划去了。
What's next on the list? | 清单里的下一样是什么？
Spaghetti! | 意大利面！
Pi-getty! | 意-面！
That's right, George, | 说得对，乔治，
but it's called spa-ghe-tti. | 但应该叫意大利面。
Pi-getty! | 意-面！
Spaghetti is Peppa and George's favorite food. | 意大利面是佩奇和乔治最喜欢吃的食物。
I wonder where the spaghetti is? | 我不知道意大利面在哪？
I can see it! This way! | 我看见了！这边走！
Spaghetti! Look, Mummy! | 意大利面！看，妈妈！
Here's the spaghetti. | 意大利面在这里。
Well done, Peppa. | 做得好，佩奇。
Let's put this spaghetti in the trolley. | 把意大利面放进推车里吧。
Yes, Mummy. | 好的，妈妈。
Pi-getty! | 意-面！
George, it's called spa-ghe-tti. | 乔治，它叫意-大-利-面。
Pi-getty! | 意-面！
What's next on the list, Peppa? | 清单的下一样是什么，佩奇？
Crisps! | 薯片！
Crisps are not on the list. | 薯片不在清单上。
We have plenty of crisps at home, Peppa. | 我们有很多薯片在家里，佩奇。
Have another guess. | 再猜一下。
Hmmm. I just can't remember. | 嗯。我真的记不起了。
Can you remember, George? | 你记得吗，乔治？
Dine-Saw! | 恐-龙！
Dinosaur? | 恐龙？
George, there aren't anydinosaurs in the supermarket! | 乔治，超市里可没有什么恐龙！
No, George. The next thingon the list is onions. | 不，乔治。清单的下一样是洋葱。
Onions! I remember now! | 是洋葱！我现在想起来了！
Here they are! | 它们在这呢！
Well done. | 做得好。
One, two, three, four! Onions. | 一，二，三，四！洋葱来了。
Very good.That's nearly everything on our list. | 做得好。清单上的东西差不多都有了。
There's one last thing on the list. | 清单上还有最后一样东西。
A plant? Is that on the list? | 一棵植物？清单上有吗？
Oh, no, George. | 哦，不，乔治。
The last thing on the list is fruit. | 清单上最后一样东西是水果。
Oh. | 哦。
Never mind, George. | 没关系，乔治。
You can choose the fruit. | 水果由你来选。
Where is the fruit? | 水果在哪？
Over there! | 在那边！
There are apples and oranges and bananas | 那边有苹果，橙子，香蕉
and a very big melon. | 还有一个很大的西瓜。
What fruit shall we have, George? | 想吃什么水果，乔治？
Apples? | 苹果？
Oranges? | 橙子？
Bananas? | 香蕉？
A melon! | 一个西瓜！
This is the checkout where all the food is paid for. | 这里是收银台，所有食物都在这里付钱。
Tomatoes, spaghetti, onions, melon,chocolate cake... | 有蕃茄，意大利面，洋葱，西瓜，巧克力蛋糕。。。
Chocolate cake? | 巧克力蛋糕？
Chocolate cake? Is that on the list? | 巧克力蛋糕？是在清单上的吗？
Peppa? Did you put the chocolatecake in the trolley? | 佩奇？是你把巧克力蛋糕放进推车的吗？
No, Mummy. | 不是，妈妈。
George? Did you put the chocolatecake in the trolley? | 乔治？是你把巧克力蛋糕放进推车的吗？
No. | 不是。
Well, I didn't put it in. | 哦，也不是我放的。
Then who did? | 那是谁放的？
Er... I thought it might be nice for pudding. | 呃。。。我想它配布丁吃很不错。
Daddy Pig! | 是你，猪爸爸！
Naughty Daddy! | 淘气的爸爸！
Sorry! It just looked so delicious. | 对不起！但它看上去很好吃。
It does look rather yummy. | 它看上去的确很美味。
Oh, let's pretend it was on the list. | 哦，让我们假装它也在清单上。
Chocolate cake. | 巧克力蛋糕。
Hurray! | 好哦！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
