Cleaning the Car! | 清洁汽车
Daddy Pig is taking the family for a drive in the country. | 猪爸爸要走带全家人出去乡村玩。
Come on! Is everyone ready? | 快点！大家都准备好了吗？
Ready! | 准备好了！
Yes, Daddy Pig, we're ready. | 是的，猪爸爸，我们准备好了。
But the car isn't ready! | 但车没有准备好！
Look how messy it is! | 看看车多脏啊！
Oh, it's not too bad. | 哦，它也不是很糟啊。
You should see how messy it is inside! | 你应该看看里边有多乱。
Oh! | 哦！
Naughty, messy Daddy! | 淘气，邋遢的爸爸！
Look at all this rubbish! Newspapers! | 看看这些垃圾！一推报纸！
They're mine. | 这是我的。
Sweets! | 甜食！
They're mine! | 它们是我的。
Mr. Dinosaur! | 还有恐龙先生！
Dine-saw! Grrrr! | 恐龙！Grrrr!
We must clean the car before we go for a drive. | 在我们出发之前，必须把车子清洁干净！
Oh, right you are, Mummy Pig. | 哦，你说得对，猪妈妈。
Mummy, can we help to clean the car? | 妈妈，我们能帮忙洗车吗？
Yes, if you want to. | 是的，如果你愿意。
Hurray! | 太好了！
Daddy Pig has some warm soapy water to wash the car. | 猪爸爸取了些温肥皂水用来洗车。
Daddy pig is washing the roof. | 猪爸爸在清洁车顶。
Mummy Pig is washing the bonnet. | 猪妈妈在清洁引擎盖。
Peppa is washing the doors. | 佩奇在清洁车门。
George wants to wash the windows. | 乔治想去清洁车窗。
But he is too little. | 但是他太矮了。
Poor George. Let me help you. | 可怜的乔治，让我来帮你。
Oh, dear! George has dropped his sponge in a muddy puddle. | 哦，糟糕！乔治把海绵掉在泥坑里了。
George, you're making the car all muddy again! | 乔治，你又把车子弄脏了！
I will wash the mud off. | 我来帮你把泥冲走。
Peppa, don't use the...muddy water. | 佩奇，不要用。。。脏泥水。
Oh, dear! Peppa has thrown the muddy water all over the car. | 哦，糟糕！佩奇用泥水把车洒了个遍！
Oh. | 哦。
Never mind. | 没关系。
We can use the garden hose to clean it off. | 我们用花园的水管把它冲干净。
Yes! Yes! Can I hold the hose? | 没错，没错。我去拿水管好吧？
Peppa holds the hose and Daddy Pig turns on the water. | 佩奇拿着水管，猪爸爸打开了水龙头。
Where's the water? Wahhh! | 水在哪里？哇~！
Arrgh! Peppa! Stop! | 啊！佩奇，停下来！
Sorry, Mummy. | 对不起，妈妈。
Oh. | 哦。
Argh! Daddy Pig! Please turn off the water! | 啊！猪爸爸，请把水龙头关上。
Oh! No need to panic. | 哦！不要惊慌。
Oh, dear, everyone is wet. | 哦，糟糕，大家都湿透了。
At least the car has been washed. | 至少车被洗干净了。
We've all been washed. | 我们也被洗干净了。
You go and dry yourseIves while I polish the car. | 你们去擦干衣服，我来擦亮车。
See you later. | 那一会见。
See you later. | 一会见。
Daddy Pig is polishing the car so well, | 猪爸爸把车擦得很干净，
he can see his face in it. | 可以映出他的脸。
What a funny face! | 一张搞笑的脸！
Oh! More funny faces! | 哦！更多搞笑的脸！
It's Peppa and George! | 是佩奇和乔治的脸！
And Mummy Pig. | 还有猪妈妈的脸。
What a lovely, shiny car. | 好一辆可爱，闪闪发光的车。
Yes, I am a bit of an expert at these things. | 没错，我可是这方面的专家。
Come on, I'll drive today. | 来吧，今天我来开车。
Is everybody ready? | 大家准备好了吗？
Ready! | 准备好了！
Then let's go! | 那我们就出发了！
I hope you will all keep this car clean today. | 我希望你们一直能保持车干净。
Yes, Mummy Pig. | 好的，猪妈妈。
Arrgh! | 啊！
Mummy, now you've made the car all muddy again. | 妈妈，现在可是你把车子弄脏了。
Naughty Mummy. | 淘气的妈妈。
Naughty, messy Mummy. | 淘气，邋遢的妈妈。
