Daddy's Movie Camera! | 爸爸的摄像机
Mr. Zebra, the postman, | 邮递员斑马先生
is delivering a parcel to Peppa's house. | 正在给佩奇家送包裹。
Parcel for you, Mr. Pig! | 有你的包裹，猪先生！
Thank you, Mr. Zebra. | 太感谢你了，斑马先生。
Goodbye! | 再见！
Look! I just got a parcel in the post! | 瞧！我刚收到一个邮差送来的包裹！
Can anyone guess what's inside? | 有谁可以猜到里面的是什么？
Dine-Saw! | 恐龙！
Oh, George! You always say''dinosaur'' for everything! | 哦，乔治！你总是将所有的东西都说是“恐龙”！
The parcel is far too small to have a dinosaur inside! | 这包裹实在是太小了，恐龙怎么可能在里面！
Thank you for purchasing the movie !Hmmm... I think it's a... a new toy! | 谢谢您购买电影 ！嗯。。。我想它是一个。。。一个新玩具！
Beep! Beep!You're very close. | 哔-哔-！你的答案很接近了。
On Suzy's camera,I know what it is! | 苏茜家的摄像机，我知道里面的是什么！
you just press this button to stop it talking.Your new camera! | 你只要按这个按钮，就可以让它停止说话了。你的新摄像机！
Beep! Beep!A new toy for Daddy Pig! | 哔-哔-！猪爸爸的新玩具！
Thank you for purchasing ....That's right! | 谢谢您购买。。。猜对了！
Now it won't talk anymore.It's a movie camera! | 现在它不说话了。它是一台摄像机！
Well done, Peppa.We can make movies with it | 做得好，佩奇。我们可以用它来拍影片
What shall I film first?and watch them on our television! | 我们该先拍些什么呢？然后在电视里看！
Film me!Can I use it first, Daddy? | 拍我吧！我可以第一个使用吗，爸爸？
Ok, Peppa!It's a bit too difficult for children to use. | 好的，佩奇！对孩子来说，用起来有点困难哦。
Hello! I'm Peppa Pig!Even I need to read the instructions! | 你好！我是小猪佩奇！就算是我，也需要看说明书！
Come on, everyone.Hmmm. It's a bit harder than I thought... | 大家都过来。嗯。它比我想的要难一点。。。
Hello! I'm Peppa Pig!Suzy Sheep's mummy has a movie camera. | 你好！我是小猪佩奇！苏茜的妈妈就有一台摄像机。
Again! Again!She switches it on like this. | 再来！再来！她是直接这样打开的。
Ok!Oh. well done, Peppa. | 好的！哦。做得好，佩奇。
Hello! I'm Peppa Pig!Beep! Beep! | 你好！我是小猪佩奇！哔-哔-！
Again! Again!Thank you for purchasing the movie ! | 再来！再来！谢谢您购买电影 ！
Hello! I'm Peppa Pig!Beep! Beep! I am eager and | 你好！我是小猪佩奇！哔-哔-！我迫不及待
Again! Again!ready to shoot your first movie. Beep Beep! | 再来！再来！想帮您拍第一部影片了.哔-哔-！
Maybe we should film something new!Is there a way to turn that voice off ? | 也许我们该拍些新东西了！是否有方法把这个声音关掉吗？
I know! Daddy Pig must leave the roomErr. I'm not sure. | 我知道！猪爸爸你先离开这房间呃，我不太确定。
and we'll make a movie to show him!Beep! Beep! | 我们会拍段影片给你看！哔-哔-！
This way.Thank you for purchasing the movie ! | 这边走。谢谢您购买电影 ！
Daddy Pig has to wait in the kitchen, | 猪爸爸在厨房等的时候，
while Mummy Pig, Peppa and George make a secret movie! | 猪妈妈，佩奇和乔治正在拍摄影片！
No peeking ,Daddy Pig! | 不准偷看哦，猪爸爸！
We must all have to do something. | 我们仨个都得出镜。
George? Do you want to go first? | 乔治？你想第一个来吗？
Are you ready? | 你准备好了没？
Can I come in and see the movie? | 我可以进来看影片了吗？
Finished! You can come in now! | 完成了！你现在可以进来了！
George has made a movie and so has Peppa! | 乔治拍了一段影片，佩奇也是！
Let's see George's movie first! | 让我们来先看看乔治的影片！
Dine-saw. | 恐龙。
Grrrrr!George is pretending to be a dinosaur. | 乔治假装自己是一只恐龙。
Grrrrr!That's a very scary dinosaur. | 那的确是一个很吓人的恐龙。
GRRrrrrrrRRRRRR!Oh, dear, George is frightened! | 哦，糟糕，乔治给吓坏了！
Don't be frightened, George, | 不要害怕，乔治，
that's not a real dinosaur on TV, it's you! | 在电视里的不是真恐龙，是你！
Grrrrrrrrrr!Dine-Saw! | 恐龙！
Now, let's see Peppa's movie. | 现在，让我们来看看佩奇的影片。
Who is that meant to be? | 这是在模仿谁呢？
I am Daddy Pig! | 我是猪爸爸！
I see. | 我明白了。
My tummy is very big | 我的肚子非常大
because I eat a lot of cookies! | 那是因为我吃了太多的饼干！
My tummy is not big! | 我的肚子一点也不大啊！
But it is true that I like cookies. | 不过我喜欢吃饼干是真的。
And the more you eat, the bigger your tummy gets! | 而且你越吃越多，你的肚子就越变越大！
Ok, what's next? | 好了，下面是什么？
This is my sweet little brother, George. | 这是我可爱的小弟弟，乔治。
This is Mummy Pig. | 这是我妈妈。
This is me. | 这就是我。
And this is the real Daddy Pig. | 而这个就是真正的猪爸爸。
