Camping! | 露营！
Peppa and her family are going camping. | 佩奇和家人一起去露营。
I love camping. | 我喜欢露营。
we're here. | 我们到了。
Hurray! | 太好了！
Peppa, George, | 佩奇，乔治，
this is the tent I had when I was a little boy! | 这个帐篷是我小时候用过的！
Daddy? How are you goingto make that into a tent? | 爸爸？你怎样把它搭成帐篷？
Don't worry, Peppa! | 不用担心，佩奇！
I'm an expert at camping! | 我是个搭帐篷的好手！
Mummy Pig, put the tenton the poles, please. | 猪妈妈，请把帐篷布铺到柱子上。
That's it! Easy as pie! | 就是这样！小菜一碟！
Oh! | 哦！
Do these pegs do anything? | 这些钉是干嘛用的？
Of course! | 当然有用！
I forgot about the pegs! | 我忘了这些钉了！
The pegs hold the tent up. | 有钉将帐篷固定了起来。
There! | 好了！
The tent is a bit little. | 这顶帐篷有点小啊。
It was big enough for me when I was a boy. | 当我还是个小男孩时它是够用的。
But it does look a bit small now... | 但是现在它看起来确实有点小了。。。
That's because you've grown a bit since you were a boy, Daddy Pig! | 这是因为你从一个小男孩长大了，猪爸爸！
And your tummy has grown the most of all! | 而且你的肚子是长得最大的！
Talking of tummies, | 说起肚子，
we should cook supper! | 我们应该煮晚饭了！
Yes! Yes! | 是的！是的！
First, we have to collectsticks to make a fire. | 首先，我们必须先找些木柴来生火。
Yipee! | 耶~！
Peppa and George are helping Daddy Pig collect sticks for the campfire. | 佩奇和乔治在帮猪爸爸找木柴用来生火。
George, I'll pick up the sticks | 乔治，我来捡木柴，
and you can carry them. | 你来拿着。
Collecting sticks is fun! | 捡木柴很有趣！
Good. That's enough sticks. | 好的。木柴够了。
That's a splendid campfire!Now I'll light it. | 这个篝火堆得很好！现在我来点着它。
Here are the matches. | 这是火柴。
We don't need matches! | 我们不需要火柴！
Daddy, how can you light it without matches? | 爸爸，不要火柴你怎么生火？
I'm going to make fire the old way, | 我准备用古法生火，
by simply rubbing these two sticks together! | 通过简单的摩擦这二根木棍！
Daddy Pig is rubbing the two sticks together to light the campfire. | 猪爸爸不断地摩擦二根木棍去点燃篝火！
Where is the fire, Daddy? | 火在哪里 ，爸爸？
Nearly there... | 就快有了。。。
Hurray! | 太棒了！
Easy as pie! | 小菜一碟！
Now we can heat up the tomato soup. | 现在我们可以加热蕃茄汤了。
Ahhh! Listen to the sounds of nature! | 啊~！来听听大自然的声音！
What is that sound? | 这是什么声音？
That is the sound of crickets chirping. | 那是蟋蟀鸣叫的声音。
What is that? | 那是什么声音呢？
That's an owl. | 那是猫头鹰的叫声。
Look! There it is! | 看！它在那里呢！
Wow... | 哇。。。
And what's that noise? | 那又是什么声音呢？
Oh, I'm not sure. | 哦，我不确定。
It's Daddy's tummy! | 是爸爸肚子！
My tummy rumbling is one of the best sounds of nature! | 我肚子声音是大自然里最好听的一种声音！
It means it's time to eat! | 它意味着该吃饭了！
I love tomato soup! | 我喜欢蕃茄汤！
So do I! | 我也喜欢！
There's another one of Daddy Pig's sounds of nature! | 猪爸爸还有另外一个声音也属于大自然的！
Eh? what? | 呃？怎么啦？
Come on, children, into the tent, | 来吧，孩子们，进帐篷，
it's bedtime. | 是时间睡觉了。
We won't all fit in! | 我们不可能挤进来！
The tent is too little! | 这帐篷太小了！
It will be fine! | 没问题的！
In you go! | 你们都进去！
Move further in, Mummy Pig! | 再进去一点，猪妈妈！
Daddy, you're too big for the tent! | 爸爸，你太胖了进不来的！
Never mind, I'd rather sleep outside anyway. | 不用担心，我会睡在外边的。
Goodnight, Daddy Pig! | 晚安，猪爸爸！
Goodnight, Daddy! | 晚安，爸爸！
Night! Night! | 晚安！
Goodnight, everyone! | 晚安，各位！
Mummy Pig, Peppa and George are sleeping in the tent. | 猪妈妈，佩奇和乔治睡在帐篷里。
Daddy Pig is sleeping outside, under the stars. | 猪爸爸睡在帐篷外的星空下。
Ahh! I love camping! | 啊！我喜欢露营！
Sleeping in the open air with the stars above me! | 睡在空旷野外，上面是满天的星星！
Maybe this wasn't such agood idea after all...brrrrrr | 也许这不是一个好主意。。。不~~
It is morning. | 天亮了。
Daddy! It was lovely and cozy in the tent! | 爸爸！睡在帐篷里真的好舒服！
Oh... Where's Daddy? | 哦。。。爸爸在哪了？
Daddy Pig has gone! | 猪爸爸不见了！
Poor Daddy Pig. | 可怜的猪爸爸。
He must have been cold and wet. | 他一定又冷又湿了。
And now where is he? | 现在他在哪？
What's that sound? | 这是什么声音？
It sounds like snoring! | 听起来像是鼻鼾声！
Daddy Pig! | 猪爸爸！
What? | 怎么呢？
Daddy, you're safe! | 爸爸，你很安全！
Of course I'm safe! | 我当然安全的啦！
I'm an expert at camping! | 我是露营专家啊！
I slept in the car. | 我睡在车里了。
Silly Daddy! | 可怜的爸爸！
I love camping! | 我最喜欢露营！
